group	corr_value	gene_id
Targets	-0.18873	ENSG00000213445
Targets	-0.02696	ENSG00000175197
Targets	-0.10368	ENSG00000204469
Targets	0.11189	ENSG00000101940
Targets	0.15216	ENSG00000126458
Targets	0.04937	ENSG00000105707
Targets	0.19326	ENSG00000126368
Targets	0.16361	ENSG00000183087
Targets	-0.08993	ENSG00000187193
Targets	-0.18451	ENSG00000160799
Targets	-0.19058	ENSG00000147251
Targets	0.07618	ENSG00000163932
Targets	0.06788	ENSG00000143545
Targets	0.14597	ENSG00000197933
Targets	-0.08928	ENSG00000122257
Targets	-0.08715	ENSG00000136997
Targets	-0.12655	ENSG00000132323
Targets	-0.02296	ENSG00000102226
Targets	0.03221	ENSG00000123358
Targets	-0.15472	ENSG00000117318
Targets	0.08684	ENSG00000027697
Targets	0.09876	ENSG00000157873
Targets	-0.11733	ENSG00000125503
Targets	-0.08956	ENSG00000070047
Targets	0.07037	ENSG00000174718
Targets	0.21467	ENSG00000174938
Targets	-0.13156	ENSG00000116871
Targets	0.21524	ENSG00000114315
Targets	0.0326	ENSG00000008869
Targets	-0.02179	ENSG00000120129
Targets	-0.11259	ENSG00000156983
Targets	0.10911	ENSG00000065154
Targets	0.05471	ENSG00000008405
Targets	-0.02109	ENSG00000079432
Targets	0.06828	ENSG00000125968
Targets	0.03037	ENSG00000157613
Targets	0.17901	ENSG00000168216
Targets	0.15424	ENSG00000162736
Targets	0.18974	ENSG00000172216
Targets	-0.02049	ENSG00000116266
Targets	0.2244	ENSG00000196422
Targets	-0.12777	ENSG00000060069
Targets	0.02139	ENSG00000177728
Targets	0.07912	ENSG00000131669
Targets	-0.06081	ENSG00000115738
Targets	0.18764	ENSG00000119139
Targets	0.19964	ENSG00000169242
Targets	-0.01252	ENSG00000175130
Targets	0.00764	ENSG00000072182
Targets	0.06318	ENSG00000177303
Targets	-0.13024	ENSG00000100109
Targets	-0.07723	ENSG00000142655
Targets	0.18861	ENSG00000083857
Targets	-0.018	ENSG00000141582
Targets	-0.00318	ENSG00000126705
Targets	0.07089	ENSG00000179431
Targets	0.18176	ENSG00000120075
Targets	-0.06843	ENSG00000121104
Targets	0.03029	ENSG00000168758
Targets	-0.00839	ENSG00000167716
Targets	0.11524	ENSG00000160271
Targets	0.08414	ENSG00000072071
Targets	-0.10285	ENSG00000152804
Targets	0.11267	ENSG00000175556
Targets	0.23559	ENSG00000020256
Targets	-0.19401	ENSG00000165359
Targets	-0.037	ENSG00000116580
Targets	-0.01249	ENSG00000198793
Targets	0.08782	ENSG00000139182
Targets	0.04057	ENSG00000185236
Targets	0.07952	ENSG00000115310
Targets	0.1348	ENSG00000127870
Targets	0.11378	ENSG00000128917
Targets	-0.0064	ENSG00000065526
Targets	0.07996	ENSG00000130827
Targets	0.0301	ENSG00000143862
Targets	0.10536	ENSG00000106537
Targets	-0.10547	ENSG00000100906
Targets	0.31518	ENSG00000101474
Targets	0.17583	ENSG00000110514
Targets	0.09492	ENSG00000147364
Targets	0.24507	ENSG00000164695
Targets	0.19741	ENSG00000175348
Targets	0.08008	ENSG00000172071
Targets	0.09444	ENSG00000052841
Targets	-0.0119	ENSG00000148296
Targets	0.15257	ENSG00000188313
Targets	0.21302	ENSG00000105856
Targets	0.25857	ENSG00000102100
Targets	0.12385	ENSG00000162909
Targets	0.09461	ENSG00000043355
Targets	0.18334	ENSG00000132002
Targets	-0.03826	ENSG00000103326
Targets	0.05099	ENSG00000109099
Targets	-0.03213	ENSG00000092820
Targets	0.16127	ENSG00000163162
Targets	0.005	ENSG00000119715
Targets	0.28342	ENSG00000102804
Targets	0.16311	ENSG00000112812
Targets	-0.0102	ENSG00000162298
Targets	0.00191	ENSG00000134049
Targets	0.00469	ENSG00000166831
Targets	0.05081	ENSG00000101230
Targets	-0.03756	ENSG00000034053
Targets	-0.09014	ENSG00000117616
Targets	0.11297	ENSG00000147050
Targets	0.16109	ENSG00000104763
