group	corr_value	gene_id
Targets	-0.05065	ENSG00000213445
Targets	0.27864	ENSG00000175197
Targets	0.34357	ENSG00000204469
Targets	0.27725	ENSG00000101940
Targets	0.24769	ENSG00000126458
Targets	0.08764	ENSG00000105707
Targets	0.25479	ENSG00000126368
Targets	0.24651	ENSG00000183087
Targets	0.06115	ENSG00000187193
Targets	0.05471	ENSG00000160799
Targets	0.18953	ENSG00000147251
Targets	-0.12708	ENSG00000163932
Targets	0.13048	ENSG00000143545
Targets	0.05358	ENSG00000197933
Targets	0.11385	ENSG00000122257
Targets	-0.13604	ENSG00000136997
Targets	0.21594	ENSG00000132323
Targets	0.64234	ENSG00000102226
Targets	0.24279	ENSG00000123358
Targets	0.28985	ENSG00000117318
Targets	-0.00492	ENSG00000027697
Targets	-0.09011	ENSG00000157873
Targets	0.25674	ENSG00000125503
Targets	0.04462	ENSG00000070047
Targets	-0.0323	ENSG00000174718
Targets	0.35607	ENSG00000174938
Targets	0.30647	ENSG00000116871
Targets	0.21704	ENSG00000114315
Targets	0.17438	ENSG00000008869
Targets	0.20126	ENSG00000120129
Targets	0.11196	ENSG00000156983
Targets	0.55737	ENSG00000065154
Targets	0.32436	ENSG00000008405
Targets	-0.05451	ENSG00000184886
Targets	0.37669	ENSG00000079432
Targets	0.16167	ENSG00000125968
Targets	0.01171	ENSG00000157613
Targets	0.64765	ENSG00000168216
Targets	0.05869	ENSG00000162736
Targets	-0.07117	ENSG00000172216
Targets	0.46699	ENSG00000116266
Targets	0.46492	ENSG00000196422
Targets	-0.18688	ENSG00000060069
Targets	0.39145	ENSG00000177728
Targets	-0.1229	ENSG00000131669
Targets	0.37912	ENSG00000115738
Targets	0.25477	ENSG00000119139
Targets	0.16166	ENSG00000169242
Targets	0.23003	ENSG00000175130
Targets	0.52725	ENSG00000072182
Targets	0.43306	ENSG00000177303
Targets	-0.13307	ENSG00000100109
Targets	0.3974	ENSG00000142655
Targets	0.40741	ENSG00000083857
Targets	0.10443	ENSG00000141582
Targets	0.26715	ENSG00000126705
Targets	0.40538	ENSG00000179431
Targets	0.01936	ENSG00000120075
Targets	-0.09889	ENSG00000121104
Targets	0.47311	ENSG00000168758
Targets	0.01666	ENSG00000167716
Targets	0.29436	ENSG00000160271
Targets	0.42485	ENSG00000072071
Targets	0.08804	ENSG00000152804
Targets	0.12347	ENSG00000175556
Targets	0.23794	ENSG00000020256
Targets	0.11845	ENSG00000165359
Targets	0.1972	ENSG00000116580
Targets	0.19245	ENSG00000198793
Targets	0.38816	ENSG00000139182
Targets	0.4604	ENSG00000185236
Targets	0.65576	ENSG00000115310
Targets	0.34635	ENSG00000127870
Targets	0.36634	ENSG00000128917
Targets	0.32715	ENSG00000065526
Targets	0.35636	ENSG00000130827
Targets	0.53966	ENSG00000143862
Targets	0.39463	ENSG00000106537
Targets	0.08015	ENSG00000100906
Targets	0.05976	ENSG00000101474
Targets	0.32386	ENSG00000110514
Targets	0.02601	ENSG00000147364
Targets	-0.00985	ENSG00000164695
Targets	0.29446	ENSG00000175348
Targets	0.10262	ENSG00000172071
Targets	0.1386	ENSG00000052841
Targets	0.30268	ENSG00000148296
Targets	0.04222	ENSG00000188313
Targets	0.06933	ENSG00000105856
Targets	0.13277	ENSG00000102100
Targets	0.29478	ENSG00000162909
Targets	0.23855	ENSG00000043355
Targets	0.09399	ENSG00000132002
Targets	-0.19323	ENSG00000103326
Targets	0.42242	ENSG00000109099
Targets	-0.07753	ENSG00000092820
Targets	-0.11842	ENSG00000163162
Targets	0.07536	ENSG00000119715
Targets	0.61892	ENSG00000102804
Targets	0.06841	ENSG00000112812
Targets	0.06028	ENSG00000162298
Targets	0.11766	ENSG00000134049
Targets	0.02709	ENSG00000166831
Targets	0.37226	ENSG00000101230
Targets	0.25266	ENSG00000034053
Targets	0.29784	ENSG00000117616
Targets	-0.02036	ENSG00000147050
Targets	0.07601	ENSG00000104763
Targets	0.25663	ENSG00000177606
Targets	0.29441	ENSG00000120616
Targets	0.16231	ENSG00000149177
Targets	-0.0056	ENSG00000182087
Targets	-0.08779	ENSG00000135269
