gene_id	RBP_only_corr	RBP_and_lncRNA_corr
ENSG00000213445	0.06248	0.1985
ENSG00000175197	0.0023	0.06889
ENSG00000204469	0.49981	0.5234
ENSG00000101940	0.19025	0.23303
ENSG00000126458	0.63263	0.66103
ENSG00000105707	0.08679	0.09009
ENSG00000126368	0.13872	0.32434
ENSG00000183087	0.34801	0.39468
ENSG00000187193	0.17568	0.12655
ENSG00000160799	0.21735	0.29441
ENSG00000147251	0.26236	0.29497
ENSG00000163932	0.13666	0.13571
ENSG00000143545	0.47089	0.4701
ENSG00000197933	0.24512	0.25218
ENSG00000122257	0.57927	0.58245
ENSG00000136997	0.30474	0.30796
ENSG00000132323	0.45651	0.49495
ENSG00000102226	0.30298	0.30914
ENSG00000123358	-0.02389	-0.00997
ENSG00000117318	0.15858	0.17331
ENSG00000027697	0.09946	0.19545
ENSG00000157873	0.08732	0.12117
ENSG00000125503	0.06904	0.11388
ENSG00000070047	0.33756	0.34923
ENSG00000174718	0.40373	0.40573
ENSG00000174938	0.18474	0.3145
ENSG00000116871	0.36993	0.36128
ENSG00000114315	0.16477	0.28794
ENSG00000008869	0.61407	0.61416
ENSG00000120129	0.40111	0.40235
ENSG00000156983	0.46714	0.48554
ENSG00000065154	0.21792	0.26414
ENSG00000008405	0.19855	0.19554
ENSG00000079432	0.29468	0.29682
ENSG00000125968	0.30168	0.34836
ENSG00000157613	0.28682	0.29456
ENSG00000168216	0.06284	0.1711
ENSG00000162736	0.22709	0.25697
ENSG00000172216	0.2992	0.43295
ENSG00000116266	0.14305	0.13628
ENSG00000196422	0.22144	0.34973
ENSG00000060069	0.33971	0.38558
ENSG00000177728	0.44193	0.43902
ENSG00000131669	0.24336	0.25899
ENSG00000115738	0.17798	0.16969
ENSG00000119139	0.15047	0.24925
ENSG00000169242	0.22697	0.30564
ENSG00000175130	0.46723	0.47032
ENSG00000072182	0.09951	0.11867
ENSG00000177303	0.22721	0.24577
ENSG00000100109	0.24581	0.28451
ENSG00000142655	0.38412	0.38301
ENSG00000083857	0.31374	0.39107
ENSG00000141582	0.29077	0.28131
ENSG00000126705	0.39178	0.3893
ENSG00000179431	0.3548	0.35598
ENSG00000120075	0.00881	0.13365
ENSG00000121104	0.36992	0.37926
ENSG00000168758	0.1562	0.1639
