group	value	gene_id
Targets	0.353891772	ENSG00000213445
Targets	-0.196597322	ENSG00000175197
Targets	0.137005342	ENSG00000204469
Targets	0.342419789	ENSG00000101940
Targets	0.171469652	ENSG00000126458
Targets	0.052779363	ENSG00000126368
Targets	0.246287738	ENSG00000183087
Targets	0.009152848	ENSG00000187193
Targets	0.047899308	ENSG00000160799
Targets	-0.15707029	ENSG00000147251
Targets	-0.012028235	ENSG00000163932
Targets	-0.030260077	ENSG00000143545
Targets	-0.223165697	ENSG00000197933
Targets	-0.01803428	ENSG00000122257
Targets	0.160752459	ENSG00000136997
Targets	-0.002582997	ENSG00000132323
Targets	0.001234685	ENSG00000102226
Targets	0.228930271	ENSG00000123358
Targets	0.416738482	ENSG00000117318
Targets	-0.033918226	ENSG00000027697
Targets	0.327362036	ENSG00000157873
Targets	0.282035211	ENSG00000125503
Targets	0.366536137	ENSG00000070047
Targets	-0.00709655	ENSG00000174718
Targets	0.21694488	ENSG00000174938
Targets	0.248357632	ENSG00000116871
Targets	0.189401954	ENSG00000114315
Targets	-0.163288547	ENSG00000008869
Targets	0.123145943	ENSG00000120129
Targets	0.102835671	ENSG00000156983
Targets	-0.064519854	ENSG00000065154
Targets	-0.122672536	ENSG00000008405
Targets	-0.07012787	ENSG00000184886
Targets	0.312788614	ENSG00000079432
Targets	0.355854805	ENSG00000125968
Targets	0.163593073	ENSG00000157613
Targets	-0.152294882	ENSG00000168216
Targets	-0.006668756	ENSG00000162736
Targets	0.413161684	ENSG00000172216
Targets	-0.20246741	ENSG00000116266
Targets	0.181847383	ENSG00000196422
Targets	0.253389851	ENSG00000060069
Targets	0.083415293	ENSG00000177728
Targets	0.099929663	ENSG00000131669
Targets	0.035985365	ENSG00000115738
Targets	-0.009109562	ENSG00000119139
Targets	0.048375586	ENSG00000169242
Targets	0.130567148	ENSG00000175130
Targets	0.30863573	ENSG00000177303
Targets	0.047299919	ENSG00000100109
Targets	0.293103359	ENSG00000142655
Targets	-0.029298386	ENSG00000083857
Targets	0.394767128	ENSG00000141582
Targets	0.384209832	ENSG00000126705
Targets	0.330818607	ENSG00000179431
Targets	-0.074184861	ENSG00000120075
Targets	0.172029352	ENSG00000121104
Targets	0.174025711	ENSG00000168758
Targets	0.197716577	ENSG00000167716
Targets	0.120826355	ENSG00000160271
Targets	0.104416734	ENSG00000072071
Targets	0.077185546	ENSG00000020256
Targets	-0.086841372	ENSG00000165359
Targets	-0.14235886	ENSG00000116580
Targets	-0.0152749	ENSG00000198793
Targets	0.12013672	ENSG00000139182
Targets	0.482510703	ENSG00000185236
Targets	0.013637929	ENSG00000115310
Targets	-0.140214107	ENSG00000127870
Targets	0.022438676	ENSG00000065526
Targets	0.19097974	ENSG00000130827
Targets	0.23276822	ENSG00000143862
Targets	-0.099926909	ENSG00000106537
Targets	0.057413646	ENSG00000100906
Targets	0.020854364	ENSG00000101474
Targets	0.060027616	ENSG00000110514
Targets	-0.119347397	ENSG00000147364
Targets	0.082716137	ENSG00000164695
Targets	-0.06545174	ENSG00000175348
Targets	-0.075162686	ENSG00000172071
Targets	0.021027776	ENSG00000052841
Targets	0.118673278	ENSG00000148296
Targets	0.054840337	ENSG00000188313
Targets	-0.088639134	ENSG00000105856
Targets	0.031666896	ENSG00000102100
Targets	-0.057770562	ENSG00000162909
Targets	0.047830225	ENSG00000132002
Targets	0.770461906	ENSG00000103326
Targets	0.050992258	ENSG00000109099
Targets	0.045402987	ENSG00000092820
Targets	-0.089990263	ENSG00000163162
Targets	0.294376415	ENSG00000119715
Targets	-0.078708106	ENSG00000102804
Targets	-0.201707293	ENSG00000112812
Targets	0.151139463	ENSG00000162298
Targets	-0.079713822	ENSG00000134049
Targets	0.218796085	ENSG00000166831
Targets	0.153375305	ENSG00000034053
Targets	0.048618277	ENSG00000117616
Targets	0.023789969	ENSG00000147050
