"ID"	"adj.P.Val"	"P.Value"	"logFC"	"Gene.symbol"
"232423_at"	"0.0231"	"0.0000493"	"5.04e-01"	"ARSD"
"204249_s_at"	"0.0231"	"0.0000531"	"4.76e-01"	"LMO2"
"228475_at"	"0.0231"	"0.0000532"	"4.75e-01"	"CCDC61"
"213543_at"	"0.0231"	"0.0000593"	"-4.38e-01"	"SGCD"
"209906_at"	"0.0231"	"0.0000601"	"4.33e-01"	"C3AR1"
"1560573_at"	"0.0231"	"0.0000648"	"4.09e-01"	"LINC00944"
"1570168_at"	"0.0231"	"0.0000701"	"3.85e-01"	""
"227149_at"	"0.0231"	"0.000074"	"3.69e-01"	"TNRC6C"
"226821_at"	"0.0231"	"0.000075"	"-3.66e-01"	"RIF1"
"203143_s_at"	"0.0231"	"0.0000759"	"3.63e-01"	"KIAA0040"
"206028_s_at"	"0.0231"	"0.0000762"	"3.61e-01"	"MERTK"
"228451_at"	"0.0231"	"0.0000764"	"3.61e-01"	"FAM229A"
"235146_at"	"0.0231"	"0.0000767"	"3.59e-01"	"TMCC3"
"219602_s_at"	"0.0231"	"0.0000786"	"-3.53e-01"	"PIEZO2"
"236341_at"	"0.0231"	"0.0000815"	"-3.43e-01"	"CTLA4"
"244227_at"	"0.0231"	"0.0000835"	"3.37e-01"	"SYT6"
"1564070_s_at"	"0.0231"	"0.0000845"	"-3.34e-01"	"HOTTIP"
"202627_s_at"	"0.0231"	"0.0000859"	"3.30e-01"	"SERPINE1"
"244722_at"	"0.0231"	"0.0000859"	"-3.30e-01"	""
"234192_s_at"	"0.0231"	"0.0000868"	"3.27e-01"	"GKAP1"
"232195_at"	"0.0231"	"0.0000899"	"3.18e-01"	"GPR158"
"224990_at"	"0.0231"	"0.0000905"	"3.17e-01"	"SMIM14"
"235690_at"	"0.0231"	"0.0000909"	"3.16e-01"	"ZNF594"
"1556133_s_at"	"0.0231"	"0.0000933"	"-3.10e-01"	"TEX36-AS1"
"216425_at"	"0.0231"	"0.0000936"	"-3.09e-01"	""
"243444_at"	"0.0231"	"0.0000938"	"-3.08e-01"	"SRD5A3"
"243900_at"	"0.0231"	"0.0000941"	"-3.08e-01"	"WDR38"
"226310_at"	"0.0231"	"0.0000943"	"3.07e-01"	"RICTOR"
"228101_at"	"0.0231"	"0.0000955"	"3.04e-01"	"APBA1"
"221860_at"	"0.0231"	"0.0000958"	"3.03e-01"	""
"230866_at"	"0.0231"	"0.0000971"	"3.00e-01"	"CYSLTR1"
"232364_at"	"0.0231"	"0.0000974"	"3.00e-01"	"LOC100506235"
"223079_s_at"	"0.0231"	"0.0000974"	"3.00e-01"	"GLS"
"209782_s_at"	"0.0231"	"0.0000976"	"-2.99e-01"	"DBP"
"242069_at"	"0.0231"	"0.0000979"	"-2.99e-01"	"CBX5"
"224943_at"	"0.0231"	"0.0001004"	"-2.93e-01"	"BTBD7"
"235462_at"	"0.0231"	"0.0001013"	"2.91e-01"	"CPEB2"
"214068_at"	"0.0231"	"0.0001015"	"2.90e-01"	"BEAN1"
"1562033_at"	"0.0231"	"0.0001017"	"2.90e-01"	"KTN1"
"1555122_at"	"0.0231"	"0.0001018"	"-2.90e-01"	"ADGRA3"
"229036_at"	"0.0231"	"0.0001031"	"-2.87e-01"	"TNRC6B"
"1562953_s_at"	"0.0231"	"0.0001035"	"2.86e-01"	"WDFY3-AS2"
"233528_s_at"	"0.0231"	"0.0001035"	"-2.86e-01"	"GATSL3"
"238887_at"	"0.0231"	"0.0001036"	"-2.86e-01"	"PARTICL"
"233975_at"	"0.0231"	"0.0001045"	"2.84e-01"	"PRNT"
"233211_at"	"0.0231"	"0.0001049"	"2.83e-01"	"MTBP"
"1561778_at"	"0.0231"	"0.0001061"	"2.81e-01"	""
"217198_x_at"	"0.0231"	"0.0001068"	"2.79e-01"	"IGHG1///IGHD///IGHA2///IGH"
"206568_at"	"0.0231"	"0.0001069"	"2.79e-01"	"TNP1"
"220240_s_at"	"0.0231"	"0.0001075"	"-2.78e-01"	"TMCO3"
"231583_at"	"0.0231"	"0.0001075"	"2.78e-01"	"KRT74"
"235714_at"	"0.0231"	"0.0001076"	"2.78e-01"	"GANC"
"1555436_a_at"	"0.0231"	"0.0001085"	"-2.76e-01"	"AFF4"
"214472_at"	"0.0231"	"0.0001091"	"2.75e-01"	"HIST1H3F///HIST1H3B///HIST1H3H///HIST1H3J///HIST1H3G///HIST1H3I///HIST1H3E///HIST1H3C///HIST1H3D///HIST1H3A///HIST1H2AD"
"206246_at"	"0.0231"	"0.0001091"	"2.75e-01"	"PFKFB4"
"213605_s_at"	"0.0231"	"0.0001102"	"-2.73e-01"	""
"237110_at"	"0.0231"	"0.0001102"	"2.73e-01"	""
"215222_x_at"	"0.0231"	"0.0001111"	"-2.71e-01"	"MACF1"
"230261_at"	"0.0231"	"0.0001112"	"2.71e-01"	"ST8SIA4"
"1555960_at"	"0.0231"	"0.0001128"	"-2.68e-01"	"HINT1"
"228605_at"	"0.0231"	"0.0001132"	"-2.67e-01"	"UBXN2A"
"221064_s_at"	"0.0231"	"0.0001138"	"-2.66e-01"	"UNKL"
"205299_s_at"	"0.0231"	"0.000114"	"2.66e-01"	"BTN2A2"
"223897_at"	"0.0231"	"0.0001142"	"-2.65e-01"	"ZNF765"
"217875_s_at"	"0.0231"	"0.0001144"	"2.65e-01"	"PMEPA1"
"1557726_at"	"0.0231"	"0.0001149"	"-2.64e-01"	"ARMCX4"
"241679_at"	"0.0231"	"0.0001149"	"-2.64e-01"	""
"204376_at"	"0.0231"	"0.0001153"	"2.63e-01"	"DCAF1"
"216890_at"	"0.0231"	"0.0001154"	"2.63e-01"	""
"206112_at"	"0.0231"	"0.0001161"	"-2.62e-01"	"ANKRD7"
"1561000_at"	"0.0231"	"0.0001165"	"-2.61e-01"	""
"240152_at"	"0.0231"	"0.0001172"	"2.60e-01"	""
"222327_x_at"	"0.0231"	"0.0001172"	"-2.60e-01"	"OR7E156P"
"241469_at"	"0.0231"	"0.0001188"	"-2.58e-01"	"HFM1"
"206887_at"	"0.0231"	"0.0001198"	"2.56e-01"	"ACKR2"
"228645_at"	"0.0231"	"0.0001199"	"-2.56e-01"	"SNHG9///SNORA78"
"211230_s_at"	"0.0231"	"0.00012"	"2.56e-01"	"PIK3CD"
"217577_at"	"0.0231"	"0.0001208"	"-2.54e-01"	""
"210752_s_at"	"0.0231"	"0.000121"	"-2.54e-01"	"MLX"
"241696_at"	"0.0231"	"0.0001214"	"-2.53e-01"	"CNTLN"
"227431_at"	"0.0231"	"0.0001228"	"-2.51e-01"	"APTR"
"208492_at"	"0.0231"	"0.0001238"	"-2.50e-01"	"RFXAP"
"227905_s_at"	"0.0231"	"0.0001242"	"2.49e-01"	"AZI2"
"228251_at"	"0.0231"	"0.0001253"	"-2.47e-01"	""
"213157_s_at"	"0.0231"	"0.0001254"	"2.47e-01"	"LOC339166///WSCD1"
"1565715_at"	"0.0231"	"0.0001266"	"-2.45e-01"	""
"1558199_at"	"0.0231"	"0.000127"	"2.45e-01"	"FN1"
"210369_at"	"0.0231"	"0.0001274"	"-2.44e-01"	"SWAP70"
"220886_at"	"0.0231"	"0.0001277"	"-2.44e-01"	"GABRQ"
"243083_at"	"0.0231"	"0.0001278"	"2.44e-01"	"LOC100287834///LOC100287704"
"209427_at"	"0.0231"	"0.0001281"	"-2.43e-01"	"SMTN"
"1556160_a_at"	"0.0231"	"0.0001283"	"2.43e-01"	""
"214489_at"	"0.0231"	"0.0001283"	"2.43e-01"	"FSHB"
"207116_s_at"	"0.0231"	"0.0001283"	"-2.43e-01"	"GAPDHS"
"237187_at"	"0.0231"	"0.0001294"	"-2.41e-01"	"HRK"
"216140_at"	"0.0231"	"0.0001304"	"2.40e-01"	""
"209031_at"	"0.0231"	"0.0001308"	"2.39e-01"	"CADM1"
"232159_at"	"0.0231"	"0.0001312"	"2.39e-01"	""
"233293_at"	"0.0231"	"0.0001312"	"-2.39e-01"	"NPAS3"
"208410_x_at"	"0.0231"	"0.0001313"	"2.39e-01"	"AMELX"
"223774_at"	"0.0231"	"0.0001314"	"2.39e-01"	"SNORA16A///SNORA61///SNORA44///SNHG12"
"208291_s_at"	"0.0231"	"0.0001328"	"-2.37e-01"	"TH"
"210102_at"	"0.0231"	"0.0001348"	"2.34e-01"	"VWA5A"
"210117_at"	"0.0231"	"0.0001357"	"2.33e-01"	"SPAG1"
"205564_at"	"0.0231"	"0.0001361"	"2.32e-01"	"PAGE4"
"205068_s_at"	"0.0231"	"0.0001361"	"-2.32e-01"	"ARHGAP26"
"226805_at"	"0.0231"	"0.0001362"	"-2.32e-01"	"FITM2"
"236506_at"	"0.0231"	"0.0001365"	"-2.32e-01"	""
"1553142_at"	"0.0231"	"0.0001365"	"-2.32e-01"	"LACC1"
"232497_at"	"0.0231"	"0.000138"	"2.30e-01"	"ZNF3"
"224059_s_at"	"0.0231"	"0.0001402"	"2.27e-01"	"NUMBL"
"216135_at"	"0.0231"	"0.0001402"	"-2.27e-01"	"IQCK"
"243735_at"	"0.0231"	"0.0001408"	"-2.26e-01"	"ELP2"
"214846_s_at"	"0.0231"	"0.0001409"	"2.26e-01"	"ALPK3"
"230428_at"	"0.0231"	"0.0001418"	"2.25e-01"	""
"1554205_s_at"	"0.0231"	"0.0001419"	"-2.25e-01"	"ICA1L"
"238080_at"	"0.0231"	"0.0001424"	"2.24e-01"	"B4GALNT4"
"238915_at"	"0.0231"	"0.0001424"	"-2.24e-01"	"SMIM10L1"
"205476_at"	"0.0231"	"0.0001425"	"2.24e-01"	"CCL20"
"230070_at"	"0.0231"	"0.0001427"	"-2.24e-01"	"CNIH2"
"203212_s_at"	"0.0231"	"0.0001427"	"-2.24e-01"	"MTMR2"
"228971_at"	"0.0231"	"0.0001436"	"-2.23e-01"	"SLC25A3"
"243844_at"	"0.0231"	"0.0001439"	"2.22e-01"	""
"231112_at"	"0.0231"	"0.0001439"	"2.22e-01"	"SNRPE"
"207836_s_at"	"0.0231"	"0.0001447"	"2.22e-01"	"RBPMS"
"225906_at"	"0.0231"	"0.0001447"	"-2.22e-01"	"GATSL2"
"207590_s_at"	"0.0231"	"0.000145"	"-2.21e-01"	"CENPI"
"234654_at"	"0.0231"	"0.0001456"	"-2.21e-01"	""
"236679_x_at"	"0.0231"	"0.0001457"	"2.20e-01"	""
"232444_at"	"0.0231"	"0.0001459"	"2.20e-01"	"CEP85L"
"220100_at"	"0.0231"	"0.0001472"	"2.19e-01"	"SLC22A11"
"227449_at"	"0.0231"	"0.0001474"	"-2.19e-01"	"EPHA4"
"240985_at"	"0.0231"	"0.0001481"	"2.18e-01"	""
"231497_at"	"0.0231"	"0.0001481"	"2.18e-01"	"ZBTB20-AS1"
"1556990_at"	"0.0231"	"0.0001484"	"2.17e-01"	"PERP"
"240717_at"	"0.0231"	"0.0001486"	"-2.17e-01"	"ABCB5"
"214890_s_at"	"0.0231"	"0.0001486"	"-2.17e-01"	"FAM149A"
"236693_at"	"0.0231"	"0.0001492"	"2.16e-01"	"MIR124-2HG"
"211368_s_at"	"0.0231"	"0.0001493"	"2.16e-01"	"CASP1"
"220031_at"	"0.0231"	"0.0001497"	"-2.16e-01"	"OTUD7B"
"215750_at"	"0.0231"	"0.0001497"	"-2.16e-01"	""
"209424_s_at"	"0.0231"	"0.0001499"	"2.16e-01"	"C1QTNF3-AMACR///AMACR"
"1561973_at"	"0.0231"	"0.0001499"	"-2.16e-01"	"SMARCC2"
"236080_at"	"0.0231"	"0.0001501"	"-2.15e-01"	"LOC100507670"
"1557697_at"	"0.0231"	"0.0001503"	"2.15e-01"	""
"227478_at"	"0.0231"	"0.0001504"	"2.15e-01"	"SETBP1"
"236161_at"	"0.0231"	"0.0001504"	"2.15e-01"	"KCCAT333"
"205706_s_at"	"0.0231"	"0.0001508"	"-2.15e-01"	"ANKRD26"
"242450_at"	"0.0231"	"0.0001508"	"-2.15e-01"	"RGMB"
"226649_at"	"0.0231"	"0.000151"	"2.14e-01"	"PANK1"
"215325_x_at"	"0.0231"	"0.0001511"	"-2.14e-01"	"CBARP"
"1569594_a_at"	"0.0231"	"0.0001515"	"2.14e-01"	"NEMF"
"213409_s_at"	"0.0231"	"0.0001518"	"2.14e-01"	"RHEB"
"236829_at"	"0.0231"	"0.000152"	"-2.13e-01"	""
"1562056_at"	"0.0231"	"0.000152"	"-2.13e-01"	""
"203799_at"	"0.0231"	"0.000152"	"-2.13e-01"	"LY75-CD302///CD302///LY75"
"224705_s_at"	"0.0231"	"0.0001522"	"2.13e-01"	"TNRC6A"
"225142_at"	"0.0231"	"0.0001525"	"2.13e-01"	"KDM7A"
"215517_at"	"0.0231"	"0.0001529"	"-2.12e-01"	"PYGO1"
"211883_x_at"	"0.0231"	"0.000153"	"2.12e-01"	"CEACAM1"
"234274_at"	"0.0231"	"0.0001531"	"2.12e-01"	""
"202708_s_at"	"0.0231"	"0.0001535"	"2.12e-01"	"HIST2H2BE"
"226648_at"	"0.0231"	"0.000154"	"-2.11e-01"	"HIF1AN"
"226645_at"	"0.0231"	"0.0001543"	"2.11e-01"	""
"1558590_at"	"0.0231"	"0.0001545"	"2.11e-01"	"METTL17"
"229163_at"	"0.0231"	"0.0001545"	"-2.11e-01"	"CAMK2N1"
"239669_at"	"0.0231"	"0.0001553"	"2.10e-01"	""
"1555655_at"	"0.0231"	"0.0001561"	"2.09e-01"	"OR10A4"
"211565_at"	"0.0231"	"0.0001561"	"2.09e-01"	"SH3GL3"
"229691_at"	"0.0231"	"0.0001564"	"2.09e-01"	"ZBTB42"
"217625_x_at"	"0.0231"	"0.0001567"	"-2.09e-01"	"LINC00963"
"213185_at"	"0.0231"	"0.0001567"	"-2.09e-01"	"KIAA0556"
"1553787_at"	"0.0231"	"0.0001568"	"2.08e-01"	"C11orf45"
"231423_s_at"	"0.0231"	"0.0001569"	"-2.08e-01"	"ANKRD16"
"223894_s_at"	"0.0231"	"0.0001572"	"-2.08e-01"	"AKTIP"
"228110_x_at"	"0.0231"	"0.0001574"	"-2.08e-01"	"RABGEF1"
