"ID"	"adj.P.Val"	"P.Value"	"logFC"	"Gene.symbol"
"238021_s_at"	"0.00348"	"9.29e-08"	"-3.1541501"	"CRNDE"
"238022_at"	"0.00348"	"1.27e-07"	"-3.32816557"	"CRNDE"
"208051_s_at"	"0.03254"	"1.79e-06"	"-0.96782047"	"PAIP1"
"225798_at"	"0.03793"	"2.86e-06"	"-1.02900348"	"JAZF1"
"212157_at"	"0.03793"	"3.47e-06"	"-1.41973519"	"SDC2"
"222747_s_at"	"0.04929"	"5.41e-06"	"-0.90147005"	"SCML1"
"224702_at"	"0.05148"	"7.34e-06"	"-1.11886796"	"TMEM167A"
"225872_at"	"0.05148"	"8.99e-06"	"-0.83594149"	"SLC35F5"
"226276_at"	"0.05148"	"9.62e-06"	"-1.81437549"	"TMEM167A"
"213083_at"	"0.05148"	"9.81e-06"	"-1.19647126"	"SLC35D2"
"212635_at"	"0.05148"	"1.04e-05"	"-0.94122243"	"TNPO1"
"201778_s_at"	"0.05441"	"1.23e-05"	"-1.40407531"	"EFCAB14"
"212488_at"	"0.05441"	"1.29e-05"	"1.60108724"	"COL5A1"
"218668_s_at"	"0.07595"	"1.94e-05"	"-0.94451282"	"RAP2C"
"211367_s_at"	"0.07679"	"2.29e-05"	"-1.51789001"	"CASP1"
"224587_at"	"0.07679"	"2.36e-05"	"-1.87102022"	"SUB1"
"228062_at"	"0.07679"	"2.39e-05"	"-0.87572462"	"NAP1L5"
"234344_at"	"0.07755"	"2.62e-05"	"-1.69490563"	"LOC100288675"
"1553219_a_at"	"0.07755"	"2.70e-05"	"-1.06770038"	"AMMECR1"
"212489_at"	"0.08153"	"2.98e-05"	"1.17669685"	"COL5A1"
"208022_s_at"	"0.08499"	"3.26e-05"	"-0.90783904"	"CDC14B"
"204976_s_at"	"0.08603"	"3.46e-05"	"-1.16123881"	"AMMECR1"
"201777_s_at"	"0.08912"	"3.79e-05"	"-0.69351289"	"EFCAB14"
"224953_at"	"0.08912"	"3.91e-05"	"-0.76956182"	"YIPF5"
"218669_at"	"0.10237"	"4.88e-05"	"-0.96719889"	"RAP2C"
"203693_s_at"	"0.10237"	"5.01e-05"	"-0.87095424"	"E2F3"
"238078_at"	"0.10237"	"5.06e-05"	"-0.73839797"	"SEC22A"
"212482_at"	"0.12244"	"6.83e-05"	"-0.81280326"	"RMND5A"
"225198_at"	"0.12244"	"6.91e-05"	"-0.82562314"	"VAPA"
"213082_s_at"	"0.12244"	"7.51e-05"	"-1.19229953"	"SLC35D2"
"228479_at"	"0.12244"	"7.75e-05"	"-0.89136551"	"SOAT1"
"227107_at"	"0.12244"	"7.76e-05"	"-1.11510989"	"PANX1"
