"ID"	"adj.P.Val"	"P.Value"	"logFC"	"Gene.symbol"
"8096361"	"0.00598"	"1.79e-07"	"2.45616917"	"HERC5"
"8101126"	"0.54474"	"6.25e-05"	"5.02900833"	"CXCL10"
"8180376"	"0.54474"	"6.75e-05"	"2.60221917"	"AKR1C1"
"8131844"	"0.54474"	"8.82e-05"	"1.31894167"	"GPNMB"
"8040080"	"0.54474"	"9.57e-05"	"4.59448083"	"RSAD2"
"8095390"	"0.54474"	"9.82e-05"	"2.01048917"	"UGT2B10"
"8103601"	"0.54882"	"1.15e-04"	"2.5844175"	"DDX60L"
"7929065"	"0.60856"	"1.55e-04"	"5.098995"	"IFIT1"
"8059650"	"0.60856"	"1.64e-04"	"1.994325"	"SP110"
"7931832"	"0.66017"	"2.13e-04"	"2.7562425"	"AKR1C2"
"8090018"	"0.66017"	"2.18e-04"	"1.96829417"	"PARP9"
"7929052"	"0.73708"	"2.66e-04"	"3.43324833"	"IFIT3"
"8014316"	"0.78745"	"3.23e-04"	"2.78225"	"CCL5"
"7983321"	"0.78745"	"3.44e-04"	"-0.93195167"	"CASC4"
"7967117"	"0.78745"	"3.55e-04"	"3.4610825"	"OASL"
"8081710"	"0.78745"	"3.78e-04"	"1.23472667"	"SIDT1"
"7973618"	"0.85604"	"4.41e-04"	"2.0909575"	"IRF9"
"7943413"	"0.85604"	"4.63e-04"	"2.769675"	"BIRC3"
"7894922"	"0.99672"	"6.43e-04"	"2.24358583"	""
"7922756"	"0.99672"	"6.51e-04"	"-1.4289975"	"NMNAT2"
"7895562"	"0.99672"	"7.21e-04"	"-1.4746875"	""
"7968015"	"0.99672"	"7.34e-04"	"-1.36287083"	"TNFRSF19"
"8092169"	"0.99672"	"7.51e-04"	"3.20315417"	"TNFSF10"
"8154733"	"0.99672"	"7.55e-04"	"-0.94490083"	"ACO1"
"7942957"	"0.99672"	"8.19e-04"	"1.07355833"	"PRSS23"
"8056285"	"0.99672"	"8.38e-04"	"2.58733"	"IFIH1"
"7958884"	"0.99672"	"8.62e-04"	"3.93675833"	"OAS1"
"7929047"	"0.99672"	"9.75e-04"	"4.37239917"	"IFIT2"
"7916616"	"0.99672"	"9.87e-04"	"1.25836667"	"CYP2J2"
"8122464"	"0.99672"	"1.05e-03"	"-1.05042333"	"UTRN"
"8103563"	"0.99672"	"1.11e-03"	"3.0229875"	"DDX60"
"7927799"	"0.99672"	"1.15e-03"	"-1.18997083"	"REEP3"
"8042310"	"0.99672"	"1.22e-03"	"-1.38249833"	"SLC1A4"
"7948995"	"0.99672"	"1.23e-03"	"-0.84478083"	"ATL3"
"7917516"	"0.99672"	"1.35e-03"	"3.02948"	"GBP1P1///GBP3///GBP1"
"7927786"	"0.99672"	"1.52e-03"	"-0.91106417"	"REEP3"
"7917503"	"0.99672"	"1.53e-03"	"1.6905925"	"GBP3"
"8040467"	"0.99672"	"1.60e-03"	"2.08596417"	""
"7929072"	"0.99672"	"1.65e-03"	"2.23461333"	"IFIT5"
"8102848"	"0.99672"	"1.69e-03"	"-0.87519917"	"SETD7"
"8108744"	"0.99672"	"1.79e-03"	"-0.93630833"	"PCDHB14"
"8107940"	"0.99672"	"1.79e-03"	"1.2763075"	""
"8015037"	"0.99672"	"1.84e-03"	"-1.28828333"	""
"7895677"	"0.99672"	"1.86e-03"	"-0.83852333"	""
"8021301"	"0.99672"	"1.86e-03"	"1.27408333"	"RAB27B"
"8140967"	"0.99672"	"1.94e-03"	"3.63397917"	"SAMD9"
"7902553"	"0.99672"	"1.97e-03"	"3.32180417"	"IFI44"
"8147746"	"0.99672"	"1.98e-03"	"0.84664833"	""
"8101131"	"0.99672"	"1.99e-03"	"3.70950583"	"CXCL11"
"8046680"	"0.99672"	"2.03e-03"	"-0.78728833"	"PLEKHA3"
"7893056"	"0.99672"	"2.21e-03"	"-0.98693083"	""
"8169638"	"0.99672"	"2.34e-03"	"2.106335"	""
"8007446"	"0.99672"	"2.48e-03"	"1.75228583"	"IFI35"
"8051777"	"0.99672"	"2.50e-03"	"-0.82221083"	"COX7A2L"
"7940775"	"0.99672"	"2.62e-03"	"1.92352583"	"RARRES3///RARRES3"
"8102050"	"0.99672"	"2.69e-03"	"-0.94777"	"SLC9B2"
"7959751"	"0.99672"	"2.70e-03"	"-0.95020167"	"ZNF664-FAM101A///ZNF664"
"7893690"	"0.99672"	"2.73e-03"	"-0.79475"	""
"8160559"	"0.99672"	"2.78e-03"	"2.64009"	"DDX58"
"8028613"	"0.99672"	"2.79e-03"	"1.696665"	"IFNL1"
"8016546"	"0.99672"	"2.79e-03"	"-1.17497417"	"ZNF652"
"7894038"	"0.99672"	"2.82e-03"	"-1.21301667"	""
"7998927"	"0.99672"	"2.86e-03"	"1.18256417"	""
"7892708"	"0.99672"	"2.91e-03"	"-0.76567583"	""
"8128843"	"0.99672"	"3.01e-03"	"0.79387"	"DDO"
"7894141"	"0.99672"	"3.04e-03"	"1.36626833"	""
"7893667"	"0.99672"	"3.11e-03"	"-0.93732333"	""
"8178193"	"0.99672"	"3.31e-03"	"1.19873333"	"HLA-DRA///HLA-DQA1"
"7892688"	"0.99672"	"3.36e-03"	"-0.79327167"	""
"8086125"	"0.99672"	"3.46e-03"	"2.15517417"	"TRANK1"
"7894952"	"0.99672"	"3.53e-03"	"-0.78195"	""
"8127637"	"0.99672"	"3.58e-03"	"-0.82325167"	"TMEM30A"
"8133360"	"0.99672"	"3.65e-03"	"0.75010833"	"CLDN4"
"7895597"	"0.99672"	"3.75e-03"	"-0.805475"	""
"7895051"	"0.99672"	"3.77e-03"	"-1.32994417"	""
"8066905"	"0.99672"	"3.80e-03"	"1.16383083"	"ZNFX1"
"7983490"	"0.99672"	"3.89e-03"	"-1.081035"	"HMGN2P46"
"7942679"	"0.99672"	"3.99e-03"	"-0.99810833"	"ACER3"
"7905308"	"0.99672"	"4.00e-03"	"1.00840167"	"BNIPL"
"8169811"	"0.99672"	"4.12e-03"	"-0.8789975"	"OCRL"
"7894815"	"0.99672"	"4.23e-03"	"-1.30449167"	""
"8156263"	"0.99672"	"4.27e-03"	"-0.72028333"	"SPIN1"
"8118111"	"0.99672"	"4.27e-03"	"1.4033525"	"HCP5"
"7893623"	"0.99672"	"4.31e-03"	"-1.272325"	""
"7997904"	"0.99672"	"4.33e-03"	"-0.75325"	""
"7895131"	"0.99672"	"4.40e-03"	"-0.68206417"	""
"7938687"	"0.99672"	"4.47e-03"	"-0.94462333"	"NUCB2"
"7894781"	"0.99672"	"4.48e-03"	"-0.96948583"	""
"7896244"	"0.99672"	"4.53e-03"	"-0.75874083"	""
"7894532"	"0.99672"	"4.57e-03"	"-1.25382"	""
"7896364"	"0.99672"	"4.60e-03"	"-1.113085"	""
"7979743"	"0.99672"	"4.64e-03"	"-1.32063083"	"RDH11"
"7949971"	"0.99672"	"4.80e-03"	"-0.77135667"	"CPT1A"
"7893803"	"0.99672"	"4.98e-03"	"-1.784455"	""
"8108733"	"0.99672"	"4.98e-03"	"-1.07339667"	"PCDHB12"
"8107474"	"0.99672"	"5.18e-03"	"-0.65297167"	"DMXL1"
"8072946"	"0.99672"	"5.28e-03"	"-0.7296"	"EIF3L"
"8109695"	"0.99672"	"5.30e-03"	"0.9548775"	""
"8137250"	"0.99672"	"5.36e-03"	"1.13593667"	"GIMAP2"
"8092541"	"0.99672"	"5.39e-03"	"0.87902167"	"LIPH"
"8117368"	"0.99672"	"5.57e-03"	"-0.86989583"	"HIST1H4C"
"8116372"	"0.99672"	"5.60e-03"	"-0.90253917"	"RNF130"
"7983502"	"0.99672"	"5.60e-03"	"-0.80999667"	"BLOC1S6"
"7892656"	"0.99672"	"5.71e-03"	"-1.16734833"	""
"7895887"	"0.99672"	"5.76e-03"	"-0.89386"	""
"7913154"	"0.99672"	"5.76e-03"	"-0.95347417"	"LOC100506730"
"8130739"	"0.99672"	"5.78e-03"	"-1.01217583"	"RPS6KA2"
"7895443"	"0.99672"	"5.80e-03"	"-0.90936583"	""
"8037298"	"0.99672"	"5.85e-03"	"0.90263917"	"CD177"
"7895913"	"0.99672"	"5.86e-03"	"-0.64325833"	""
"8128650"	"0.99672"	"5.88e-03"	"-0.66384167"	"SEC63"
"7925087"	"0.99672"	"5.96e-03"	"0.77837417"	""
"8128888"	"0.99672"	"5.98e-03"	"1.16705417"	""
"7988208"	"0.99672"	"6.16e-03"	"-0.69613833"	"CATSPER2P1"
"7894216"	"0.99672"	"6.25e-03"	"-1.10746667"	""
"8004184"	"0.99672"	"6.29e-03"	"3.52264917"	"XAF1"
"7893215"	"0.99672"	"6.52e-03"	"-0.875645"	""
"8179481"	"0.99672"	"6.56e-03"	"0.95601667"	"HLA-DRA///HLA-DQA1"
"7984330"	"0.99672"	"6.57e-03"	"-1.03856"	"ZWILCH"
"8047441"	"0.99672"	"6.68e-03"	"-0.829585"	""
"7938035"	"0.99672"	"6.74e-03"	"2.35416167"	"TRIM22"
"7984704"	"0.99672"	"6.76e-03"	"-0.669375"	"NEO1"
"7962013"	"0.99672"	"7.06e-03"	"-1.10872"	"ERGIC2"
"7964701"	"0.99672"	"7.16e-03"	"-0.78164167"	"GNS"
"8062927"	"0.99672"	"7.18e-03"	"1.3592975"	"PI3"
"7988921"	"0.99672"	"7.34e-03"	"-0.69071083"	"MYO5A"
"8020903"	"0.99672"	"7.36e-03"	"-1.029005"	"GALNT1"
"8095854"	"0.99672"	"7.44e-03"	"-0.82093083"	"SEPT11"
"8167103"	"0.99672"	"7.49e-03"	"-1.19030417"	"CDK16"
"8103979"	"0.99672"	"7.58e-03"	"-0.76279333"	"CFAP97"
"8150908"	"0.99672"	"7.58e-03"	"-1.06886833"	"IMPAD1"
"8118548"	"0.99672"	"7.65e-03"	"1.06262"	"HLA-DRA///HLA-DQA1"
"7893697"	"0.99672"	"7.66e-03"	"-1.47773333"	""
"8020090"	"0.99672"	"7.89e-03"	"-0.96603833"	"TWSG1"
"7896440"	"0.99672"	"7.96e-03"	"-0.86988167"	""
"7893822"	"0.99672"	"7.99e-03"	"-1.15576"	""
"7894935"	"0.99672"	"8.02e-03"	"-0.95127417"	""
"8072735"	"0.99672"	"8.02e-03"	"1.55268333"	"APOL1"
"7895537"	"0.99672"	"8.06e-03"	"-0.68348083"	""
"7895053"	"0.99672"	"8.06e-03"	"-1.00551"	""
"7894510"	"0.99672"	"8.24e-03"	"-0.9455525"	""
"7928046"	"0.99672"	"8.25e-03"	"0.78712667"	"TSPAN15"
"8074606"	"0.99672"	"8.28e-03"	"1.461335"	"USP41///USP18"
"8057744"	"0.99672"	"8.31e-03"	"1.74544833"	"STAT1"
"8093456"	"0.99672"	"8.48e-03"	"-0.6652575"	"CTBP1-AS2"
"7975238"	"0.99672"	"8.52e-03"	"-0.99468833"	"PLEKHH1"
"8072710"	"0.99672"	"8.60e-03"	"1.81437"	"APOL6"
"7894731"	"0.99672"	"8.67e-03"	"-0.85776583"	""
"8070567"	"0.99672"	"8.69e-03"	"-0.65044667"	"TFF3"
"7895195"	"0.99672"	"8.77e-03"	"-0.84635583"	""
"7910680"	"0.99672"	"8.78e-03"	"1.12805667"	"GPR137B"
"8013486"	"0.99672"	"8.80e-03"	"-0.619925"	"USP22"
"7895580"	"0.99672"	"8.80e-03"	"-1.04867083"	""
"8078214"	"0.99672"	"8.81e-03"	"-0.6927725"	"RAB5A"
"7894006"	"0.99672"	"8.87e-03"	"-0.7915825"	""
"7954382"	"0.99672"	"8.91e-03"	"-0.91638167"	"PYROXD1"
"8132501"	"0.99672"	"8.95e-03"	"-0.733545"	""
"7952036"	"0.99672"	"8.96e-03"	"-0.6424975"	"MPZL3"
"8020804"	"0.99672"	"8.97e-03"	"0.79129833"	""
"7895347"	"0.99672"	"9.02e-03"	"-0.6237"	""
"8104492"	"0.99672"	"9.08e-03"	"0.76927667"	"ROPN1L"
"8166493"	"0.99672"	"9.29e-03"	"-0.86826667"	"EIF2S3"
"8001197"	"0.99672"	"9.36e-03"	"-1.12762167"	"NETO2"
"7914127"	"0.99672"	"9.44e-03"	"2.50986167"	"IFI6"
"8066939"	"0.99672"	"9.47e-03"	"-1.22345667"	"B4GALT5"
"7932966"	"0.99672"	"9.48e-03"	"-0.73389833"	"ITGB1"
"8097529"	"0.99672"	"9.49e-03"	"-0.79487583"	"ELMOD2"
"8171901"	"0.99672"	"9.50e-03"	"-0.87598333"	"TAB3"
"8040223"	"0.99672"	"9.54e-03"	"-1.03525917"	"RRM2"
"8095221"	"0.99672"	"9.64e-03"	"-0.74423833"	"PAICS"
"8125825"	"0.99672"	"9.68e-03"	"-0.91285167"	"RPS10-NUDT3///NUDT3"
"7948997"	"0.99672"	"9.81e-03"	"-0.7757225"	"ATL3"
"7958913"	"0.99672"	"9.92e-03"	"3.77161917"	"OAS2"
"8156688"	"0.99672"	"1.01e-02"	"1.2683475"	"TDRD7"
"7917532"	"0.99672"	"1.02e-02"	"1.7661675"	"GBP2"
"8139482"	"0.99672"	"1.03e-02"	"-0.75684917"	"SNORA5A"
"7894322"	"0.99672"	"1.03e-02"	"-0.93037833"	""
"8078650"	"0.99672"	"1.03e-02"	"-0.82047833"	"CTDSPL"
"7894811"	"0.99672"	"1.04e-02"	"-0.95992833"	""
"7895723"	"0.99672"	"1.04e-02"	"1.364835"	""
"8087935"	"0.99672"	"1.07e-02"	"-0.89643833"	"NT5DC2"
"8080562"	"0.99672"	"1.07e-02"	"-1.00031167"	"IL17RB"
"8180303"	"0.99672"	"1.08e-02"	"1.39169333"	"SAA2"
"7904340"	"0.99672"	"1.08e-02"	"-0.68467583"	"MAN1A2"
"7984132"	"0.99672"	"1.08e-02"	"-0.78572417"	"USP3"
"8173217"	"0.99672"	"1.08e-02"	"-0.62076333"	"ARHGEF9"
"8007561"	"0.99672"	"1.08e-02"	"-0.85708583"	"G6PC3"
"7895141"	"0.99672"	"1.09e-02"	"-0.70133917"	""
"8047538"	"0.99672"	"1.09e-02"	"-1.31126333"	"BMPR2"
"8095364"	"0.99672"	"1.09e-02"	"1.00467583"	"TMPRSS11E"
