"ID"	"adj.P.Val"	"P.Value"	"logFC"	"Gene.symbol"
"8068713"	"0.617"	"0.0000393"	"2.98"	"MX1"
"8040080"	"0.617"	"0.0000451"	"2.38"	"RSAD2"
"7896634"	"0.617"	"0.0000566"	"2.63"	""
"7929065"	"0.617"	"0.0000776"	"2.79"	"IFIT1"
"8095680"	"0.617"	"0.0000927"	"2.41"	"CXCL8"
"7894925"	"0.816"	"0.0001556"	"-2.15"	""
"7902553"	"0.816"	"0.0001716"	"2.18"	"IFI44"
"7937335"	"0.837"	"0.000201"	"2.58"	"IFITM1"
"8096335"	"0.857"	"0.0002506"	"1.42"	"HERC6"
"7958884"	"0.857"	"0.0002608"	"1.85"	"OAS1"
"7967473"	"0.857"	"0.0002958"	"-1.47"	"EIF2B1"
"8171531"	"0.857"	"0.0003122"	"1.75"	""
"8021470"	"0.857"	"0.0003347"	"1.80"	"PMAIP1"
"8102800"	"1"	"0.0004225"	"1.44"	"SLC7A11"
"8040467"	"1"	"0.0005173"	"2.04"	""
"7929047"	"1"	"0.0005531"	"1.24"	"IFIT2"
"7893987"	"1"	"0.0005767"	"-1.26"	""
"7995838"	"1"	"0.0005981"	"1.17"	"MT1X"
"7893093"	"1"	"0.0007121"	"-2.01"	""
"7969091"	"1"	"0.0007456"	"1.33"	""
"7914127"	"1"	"0.0008839"	"2.70"	"IFI6"
"7945371"	"1"	"0.0009184"	"1.41"	"IFITM3"
"8013567"	"1"	"0.0009366"	"-1.11"	"LYRM9"
"8180264"	"1"	"0.0009366"	"-1.11"	"LYRM9"
"8082100"	"1"	"0.0009431"	"1.15"	"PARP14"
"7893144"	"1"	"0.0009504"	"1.13"	""
"7893010"	"1"	"0.0009577"	"1.27"	""
"8140967"	"1"	"0.0010215"	"1.47"	"SAMD9"
"7902541"	"1"	"0.0010682"	"2.51"	"IFI44L"
"7993756"	"1"	"0.0010826"	"-1.16"	"ACSM3"
"7982868"	"1"	"0.0010911"	"2.28"	"CHAC1"
"7894859"	"1"	"0.0011"	"1.16"	""
"7896364"	"1"	"0.0011126"	"1.30"	""
"7958913"	"1"	"0.0011323"	"1.10"	"OAS2"
"7894947"	"1"	"0.0012093"	"-1.02"	""
"8169638"	"1"	"0.0012771"	"2.08"	""
"7958895"	"1"	"0.0013359"	"1.49"	"OAS3"
"8001531"	"1"	"0.001336"	"1.05"	"MT1G"
"8162531"	"1"	"0.0013365"	"9.90e-01"	""
"8135488"	"1"	"0.0013528"	"1.08"	"LRRN3"
"7929052"	"1"	"0.0013546"	"1.18"	"IFIT3"
"7896646"	"1"	"0.001532"	"1.62"	""
"7973618"	"1"	"0.0015437"	"1.86"	"IRF9"
"8063386"	"1"	"0.0015963"	"1.12"	"CEBPB"
"7896220"	"1"	"0.0016204"	"1.50"	""
"8136388"	"1"	"0.0016361"	"9.89e-01"	"TMEM140"
"8090018"	"1"	"0.0016757"	"1.01"	"PARP9"
"7899436"	"1"	"0.0017282"	"1.32"	"SESN2"
"8121886"	"1"	"0.0017363"	"-1.00"	"HINT3"
"7893401"	"1"	"0.0017508"	"-1.05"	""
"8103601"	"1"	"0.0018282"	"9.39e-01"	"DDX60L"
"7893586"	"1"	"0.0018505"	"1.13"	""
"8103563"	"1"	"0.0019479"	"2.08"	"DDX60"
"7976598"	"1"	"0.001967"	"-9.98e-01"	"PAPOLA"
"7894006"	"1"	"0.00198"	"-1.32"	""
"8074606"	"1"	"0.0021122"	"1.24"	"USP41///USP18"
"8112967"	"1"	"0.0022565"	"-1.08"	"TMEM167A"
"7995783"	"1"	"0.0022719"	"8.65e-01"	"MT2A"
"8095376"	"1"	"0.0022798"	"8.60e-01"	"MT2A"
"8030128"	"1"	"0.0023"	"9.83e-01"	"PPP1R15A"
"8095362"	"1"	"0.0023223"	"8.57e-01"	"MT2A"
"7938390"	"1"	"0.0023864"	"8.82e-01"	"ADM"
"7949615"	"1"	"0.0024093"	"-9.36e-01"	"B4GAT1"
"8048976"	"1"	"0.002509"	"8.89e-01"	""
"8057744"	"1"	"0.002611"	"1.38"	"STAT1"
"8036483"	"1"	"0.0027005"	"-1.01"	"YIF1B"
"7896467"	"1"	"0.00271"	"1.08"	""
"7902512"	"1"	"0.0027662"	"8.59e-01"	"DNAJB4"
"7995803"	"1"	"0.0028184"	"8.46e-01"	"MT1JP"
"7893646"	"1"	"0.0028266"	"9.65e-01"	""
"7895804"	"1"	"0.0028556"	"-9.13e-01"	""
"7896436"	"1"	"0.0028712"	"-1.03"	""
"7959102"	"1"	"0.0028883"	"8.13e-01"	"HSPB8"
"7978718"	"1"	"0.0029978"	"-8.24e-01"	"SEC23A"
"7895370"	"1"	"0.003023"	"9.74e-01"	""
"7958200"	"1"	"0.0030231"	"8.36e-01"	"EID3"
"7892596"	"1"	"0.0030294"	"-1.08"	""
"8180376"	"1"	"0.0031913"	"1.10"	"AKR1C1"
"8128888"	"1"	"0.0031984"	"9.30e-01"	""
"7893179"	"1"	"0.0032374"	"-8.00e-01"	""
"7895426"	"1"	"0.0032844"	"1.18"	""
"7908409"	"1"	"0.0033942"	"1.64"	"RGS2"
"8133030"	"1"	"0.0035081"	"-9.58e-01"	"GABPA"
"8024485"	"1"	"0.0035886"	"1.04"	"GADD45B"
"7893614"	"1"	"0.003614"	"-1.00"	""
"8040103"	"1"	"0.0036247"	"8.26e-01"	"ID2"
"7895236"	"1"	"0.0036324"	"1.15"	""
"7895335"	"1"	"0.0036354"	"1.11"	""
"7894996"	"1"	"0.0036563"	"-9.22e-01"	""
"8027002"	"1"	"0.0037359"	"1.43"	"GDF15"
"7974008"	"1"	"0.0038316"	"-8.08e-01"	"TTC6"
"7975787"	"1"	"0.003837"	"9.11e-01"	"JDP2"
"7894129"	"1"	"0.0038428"	"1.18"	""
"8091327"	"1"	"0.0039998"	"1.71"	"PLSCR1"
"8167947"	"1"	"0.0040316"	"8.85e-01"	""
"8050102"	"1"	"0.004073"	"7.70e-01"	"CMPK2"
"7896401"	"1"	"0.0041208"	"-9.76e-01"	""
"7893076"	"1"	"0.0041298"	"-1.36"	""
"7925413"	"1"	"0.0041341"	"7.67e-01"	"MT1HL1"
"7893195"	"1"	"0.0041349"	"8.55e-01"	""
"7945641"	"1"	"0.0042316"	"8.74e-01"	"DUSP8"
"8180360"	"1"	"0.004255"	"7.72e-01"	"OR8G1"
"7893992"	"1"	"0.0042568"	"1.05"	""
"8135576"	"1"	"0.00436"	"7.41e-01"	"TES"
"7970392"	"1"	"0.0043838"	"1.25"	""
"8048940"	"1"	"0.0045709"	"1.21"	"SP100"
"7892597"	"1"	"0.0045853"	"-1.05"	""
"8119898"	"1"	"0.0046404"	"9.14e-01"	"VEGFA"
"7893334"	"1"	"0.0046481"	"1.15"	""
"7948274"	"1"	"0.0046836"	"8.06e-01"	"UBE2L6"
"7894713"	"1"	"0.0047829"	"-1.01"	""
"7893213"	"1"	"0.0048131"	"-8.80e-01"	""
"7895560"	"1"	"0.0048724"	"-7.52e-01"	""
"7895728"	"1"	"0.0048952"	"1.11"	""
"7995834"	"1"	"0.0050257"	"7.55e-01"	"MT1IP"
"7982854"	"1"	"0.0050298"	"1.19"	"DLL4"
"7893597"	"1"	"0.00503"	"-7.76e-01"	""
"7940717"	"1"	"0.0050309"	"7.15e-01"	"SLC3A2"
"7895175"	"1"	"0.0051446"	"8.73e-01"	""
"8140971"	"1"	"0.0051462"	"1.39"	"SAMD9L"
"7893843"	"1"	"0.0052983"	"-8.39e-01"	""
"7974027"	"1"	"0.0053602"	"-1.02"	""
"7927280"	"1"	"0.0055553"	"-1.04"	"CH17-360D5.1///NPY4R"
"7892945"	"1"	"0.0055598"	"1.05"	""
"7894598"	"1"	"0.0055692"	"9.89e-01"	""
"8062119"	"1"	"0.0056272"	"8.15e-01"	"MT1P3"
"7894568"	"1"	"0.005651"	"6.98e-01"	""
"7950447"	"1"	"0.0056572"	"-6.94e-01"	"XRRA1"
"7895822"	"1"	"0.0056917"	"-8.12e-01"	""
"7919155"	"1"	"0.0057747"	"1.14"	""
"7919405"	"1"	"0.0057747"	"1.14"	""
"8160559"	"1"	"0.0058565"	"1.25"	"DDX58"
"7894087"	"1"	"0.0058941"	"7.25e-01"	""
"7896558"	"1"	"0.0059207"	"-1.20"	""
"8177628"	"1"	"0.0059264"	"-7.76e-01"	"CCDC125"
"7896109"	"1"	"0.0059463"	"-1.09"	""
"8136471"	"1"	"0.0059767"	"7.18e-01"	""
"8081171"	"1"	"0.0059806"	"-7.01e-01"	"CRYBG3"
"7916609"	"1"	"0.0061011"	"1.01"	"JUN"
"7906775"	"1"	"0.0061236"	"1.39"	"HSPA7///HSPA6"
"8072678"	"1"	"0.0061887"	"9.95e-01"	"HMOX1"
"8161892"	"1"	"0.006245"	"-9.05e-01"	"GNA14"
"8139118"	"1"	"0.006253"	"-6.83e-01"	""
"7979743"	"1"	"0.0064441"	"-7.41e-01"	"RDH11"
"7985233"	"1"	"0.006488"	"6.90e-01"	"RASGRF1"
"7974029"	"1"	"0.0065124"	"-6.91e-01"	"TTC6"
"7934255"	"1"	"0.0065163"	"-6.74e-01"	"MICU1"
"8129069"	"1"	"0.0065331"	"1.16"	""
"7975779"	"1"	"0.0066408"	"1.57"	"FOS"
"8141150"	"1"	"0.0066722"	"8.76e-01"	"ASNS"
"8101322"	"1"	"0.0066925"	"7.79e-01"	"MOP-1"
"7995793"	"1"	"0.0066993"	"7.04e-01"	"NUTF2///MT1L"
"8016519"	"1"	"0.0067225"	"7.37e-01"	""
"7995813"	"1"	"0.0067682"	"8.39e-01"	"MT1DP"
"7896633"	"1"	"0.0067767"	"1.55"	""
"7892724"	"1"	"0.0068897"	"1.61"	""
"7895228"	"1"	"0.0070713"	"1.22"	""
"7993369"	"1"	"0.0070743"	"8.90e-01"	""
"7893157"	"1"	"0.0070851"	"-8.87e-01"	""
"8112439"	"1"	"0.0070881"	"-7.03e-01"	"CCDC125"
"8095744"	"1"	"0.0070939"	"1.20"	"AREG"
"7959482"	"1"	"0.007102"	"9.03e-01"	""
"7894920"	"1"	"0.0071384"	"6.93e-01"	""
"7995797"	"1"	"0.0072002"	"7.61e-01"	"MT1E"
"7894977"	"1"	"0.0072248"	"-7.63e-01"	""
"7929072"	"1"	"0.0073543"	"1.02"	"IFIT5"
"7892973"	"1"	"0.0074617"	"6.78e-01"	""
"7893704"	"1"	"0.0075329"	"6.66e-01"	""
"8052581"	"1"	"0.007539"	"-8.49e-01"	""
"8072710"	"1"	"0.0076103"	"8.76e-01"	"APOL6"
"7893456"	"1"	"0.0076649"	"-6.95e-01"	""
"8141140"	"1"	"0.0076732"	"9.79e-01"	"DLX5"
"7931479"	"1"	"0.0076827"	"-8.37e-01"	"INPP5A"
"7939007"	"1"	"0.007713"	"-8.17e-01"	"LUZP2"
"8120927"	"1"	"0.0077515"	"-6.43e-01"	"RWDD2A"
"8056837"	"1"	"0.0077584"	"-6.71e-01"	"GPR155"
"7995825"	"1"	"0.007767"	"9.87e-01"	"MT1F"
"8025893"	"1"	"0.0077789"	"8.16e-01"	""
"7896053"	"1"	"0.0078285"	"-8.39e-01"	""
"7896440"	"1"	"0.00787"	"-1.24"	""
"7896504"	"1"	"0.0078804"	"-1.16"	""
"8012539"	"1"	"0.0078843"	"6.43e-01"	"PIK3R6"
"7983321"	"1"	"0.0079569"	"-6.45e-01"	"CASC4"
"7973530"	"1"	"0.0079797"	"7.14e-01"	"PCK2"
"8052798"	"1"	"0.0079991"	"-6.91e-01"	"AAK1"
"8132070"	"1"	"0.0081397"	"6.61e-01"	"GARS"
"7894361"	"1"	"0.0082681"	"-6.54e-01"	""
"8049349"	"1"	"0.0082843"	"8.66e-01"	"UGT1A3///UGT1A1///UGT1A4///UGT1A9///UGT1A5///UGT1A6///UGT1A7///UGT1A8///UGT1A10"
"8104746"	"1"	"0.0083176"	"-1.01"	"NPR3"
"7941401"	"1"	"0.0085185"	"6.38e-01"	"OVOL1"
"7894321"	"1"	"0.0086377"	"-8.62e-01"	""
"7941599"	"1"	"0.0086946"	"8.56e-01"	"NPAS4"
"7956120"	"1"	"0.0087191"	"6.29e-01"	"ERBB3"
"7895361"	"1"	"0.0087471"	"-8.20e-01"	""
"7998927"	"1"	"0.0087654"	"1.63"	""
"8158993"	"1"	"0.0088012"	"6.61e-01"	""
"7913655"	"1"	"0.0088689"	"9.01e-01"	"ID3"
"8119241"	"1"	"0.0089593"	"-7.82e-01"	""
"7979658"	"1"	"0.0089783"	"1.30"	"GPX2"
"7894643"	"1"	"0.0090892"	"-6.63e-01"	""
"8097947"	"1"	"0.0091499"	"6.46e-01"	""
"7896006"	"1"	"0.0091985"	"-7.32e-01"	""
"7892903"	"1"	"0.0093725"	"1.26"	""
"7894595"	"1"	"0.0094991"	"6.31e-01"	""
"7893059"	"1"	"0.0095171"	"6.99e-01"	""
"8108900"	"1"	"0.0095743"	"7.01e-01"	"HMHB1"
"7893453"	"1"	"0.0096969"	"1.22"	""
"8106534"	"1"	"0.0097024"	"-6.15e-01"	"PAPD4"
"7892960"	"1"	"0.0097275"	"6.92e-01"	""
"7979721"	"1"	"0.0097335"	"-6.19e-01"	"TMEM229B"
"8059650"	"1"	"0.0098172"	"1.45"	"SP110"
"8146906"	"1"	"0.0098332"	"6.84e-01"	""
"8096663"	"1"	"0.0098536"	"-6.89e-01"	"CISD2"
"7895453"	"1"	"0.0099167"	"-8.00e-01"	""
"7894600"	"1"	"0.0100024"	"-7.47e-01"	""
"7895914"	"1"	"0.0100523"	"9.18e-01"	""
"7893265"	"1"	"0.0100542"	"-7.35e-01"	""
"8002303"	"1"	"0.0100744"	"1.09"	"NQO1"
"8061073"	"1"	"0.0101558"	"6.25e-01"	""
"8055688"	"1"	"0.0101725"	"1.27"	"RND3"
"7973985"	"1"	"0.0103825"	"-6.32e-01"	"MIPOL1"
"8104022"	"1"	"0.0104011"	"-7.36e-01"	"PDLIM3"
"8037205"	"1"	"0.0104535"	"5.99e-01"	"CEACAM1"
"7896232"	"1"	"0.0104704"	"-9.23e-01"	""
"7895253"	"1"	"0.0104808"	"-1.49"	""
"8092765"	"1"	"0.0106382"	"6.79e-01"	"MB21D2"
"7893654"	"1"	"0.0106402"	"6.09e-01"	""
"8101207"	"1"	"0.0107236"	"6.58e-01"	"SOWAHB"
"7967456"	"1"	"0.01076"	"-7.77e-01"	"RILPL2"
"8082075"	"1"	"0.0107926"	"8.17e-01"	"DTX3L"
"8088397"	"1"	"0.0107974"	"-6.18e-01"	"ACOX2"
"7917779"	"1"	"0.0108477"	"6.72e-01"	"GCLM"
"7894691"	"1"	"0.0108768"	"-7.95e-01"	""
"8103975"	"1"	"0.0109119"	"6.01e-01"	"SLED1"
"7892755"	"1"	"0.0109824"	"-1.26"	""
"8116418"	"1"	"0.0109965"	"8.00e-01"	"GFPT2"
"7947674"	"1"	"0.0109985"	"-5.88e-01"	""
"8124164"	"1"	"0.0110245"	"9.99e-01"	""
"7892950"	"1"	"0.0111804"	"-6.19e-01"	""
"7970655"	"1"	"0.0112709"	"-8.11e-01"	"MTMR6"
"8112070"	"1"	"0.0113695"	"6.65e-01"	""
"7909610"	"1"	"0.011372"	"9.23e-01"	"ATF3"
"8176947"	"1"	"0.0113734"	"6.71e-01"	""
"8177387"	"1"	"0.0113734"	"6.71e-01"	""
"7975238"	"1"	"0.0113892"	"-8.41e-01"	"PLEKHH1"
"8175315"	"1"	"0.011596"	"-6.09e-01"	""
"8122724"	"1"	"0.0116293"	"1.22"	"ULBP1"
"7958015"	"1"	"0.0116441"	"-8.13e-01"	""
"7923698"	"1"	"0.0116712"	"9.15e-01"	""
"7894708"	"1"	"0.0117102"	"-7.97e-01"	""
"7893724"	"1"	"0.0117664"	"-7.78e-01"	""
"8104758"	"1"	"0.0119595"	"-1.34"	"NPR3"
"7980096"	"1"	"0.0119764"	"-7.08e-01"	"ALDH6A1"
"7917516"	"1"	"0.0120555"	"8.13e-01"	"GBP1P1///GBP3///GBP1"
"7895443"	"1"	"0.0121213"	"-8.64e-01"	""
"7894504"	"1"	"0.0121703"	"-6.89e-01"	""
"7965335"	"1"	"0.0121729"	"5.72e-01"	"DUSP6"
"7919151"	"1"	"0.012219"	"8.96e-01"	"RNVU1-1"
"7919392"	"1"	"0.012219"	"8.96e-01"	"RNVU1-1"
"7895775"	"1"	"0.0122291"	"6.67e-01"	""
"8093150"	"1"	"0.0122456"	"6.15e-01"	""
"7895889"	"1"	"0.0122905"	"-7.75e-01"	""
"7968970"	"1"	"0.0123104"	"-6.46e-01"	""
"7995275"	"1"	"0.0123168"	"6.00e-01"	"LOC102723655///TP53TG3B///TP53TG3D///TP53TG3C///TP53TG3"
"7893971"	"1"	"0.0125109"	"-6.37e-01"	""
"7914212"	"1"	"0.0125546"	"6.42e-01"	"SNORA61///SNHG12"
"7918026"	"1"	"0.0125578"	"-6.12e-01"	"EXTL2"
"7893049"	"1"	"0.0126616"	"-9.13e-01"	""
"8093950"	"1"	"0.0126628"	"5.68e-01"	"S100P"
"7894377"	"1"	"0.0127668"	"7.07e-01"	""
"8063536"	"1"	"0.0127912"	"5.75e-01"	"TFAP2C"
"7893776"	"1"	"0.0128632"	"7.58e-01"	""
"7895401"	"1"	"0.0128876"	"-7.44e-01"	""
"7959312"	"1"	"0.012958"	"-8.75e-01"	"TMEM120B"
"7984686"	"1"	"0.0129706"	"-6.44e-01"	"BBS4"
"7896572"	"1"	"0.0129884"	"9.76e-01"	""
"8095736"	"1"	"0.0130025"	"6.13e-01"	"AREG"
"7987981"	"1"	"0.0130354"	"-5.75e-01"	"UBR1"
"8047257"	"1"	"0.013047"	"-5.90e-01"	"SATB2-AS1"
"7909142"	"1"	"0.0130579"	"-5.98e-01"	"NUCKS1"
"8025053"	"1"	"0.0131362"	"6.31e-01"	"TNFSF9"
"7893795"	"1"	"0.0131618"	"-5.88e-01"	""
"7894960"	"1"	"0.0132084"	"6.25e-01"	""
"8151605"	"1"	"0.0132252"	"7.91e-01"	"REXO1L1P"
"8151613"	"1"	"0.0132252"	"7.91e-01"	"REXO1L1P"
"8151617"	"1"	"0.0132252"	"7.91e-01"	"REXO1L1P"
"8151621"	"1"	"0.0132252"	"7.91e-01"	"REXO1L1P"
"8151625"	"1"	"0.0132252"	"7.91e-01"	"REXO1L1P"
"8041000"	"1"	"0.0132285"	"-5.76e-01"	"GPN1"
