"ID"	"adj.P.Val"	"P.Value"	"logFC"	"Gene.symbol"
"209720_s_at"	"0.0000336"	"7.02e-10"	"5.27"	"SERPINB3"
"239430_at"	"0.0000336"	"2.41e-09"	"5.68"	"IGFL1"
"214599_at"	"0.0000336"	"3.87e-09"	"4.32"	"IVL"
"210397_at"	"0.0000336"	"4.02e-09"	"4.19"	"DEFB1"
"207324_s_at"	"0.0000336"	"4.09e-09"	"3.90"	"DSC1"
"219995_s_at"	"0.0000336"	"4.63e-09"	"3.72"	"ZNF750"
"203535_at"	"0.0000336"	"4.81e-09"	"5.45"	"S100A9"
"213240_s_at"	"0.0000336"	"4.91e-09"	"5.48"	"KRT4"
"205185_at"	"0.0000371"	"6.73e-09"	"4.36"	"SPINK5"
"218963_s_at"	"0.0000371"	"6.78e-09"	"4.21"	"KRT23"
"205900_at"	"0.000051"	"1.08e-08"	"4.31"	"KRT1"
"232082_x_at"	"0.000051"	"1.12e-08"	"3.98"	"SPRR3"
"204733_at"	"0.0000559"	"1.33e-08"	"3.20"	"KLK6"
"220620_at"	"0.0000576"	"1.47e-08"	"3.09"	"CRCT1"
"219795_at"	"0.0000588"	"1.73e-08"	"3.27"	"SLC6A14"
"202917_s_at"	"0.0000588"	"1.80e-08"	"4.62"	"S100A8"
"218559_s_at"	"0.0000588"	"1.83e-08"	"3.58"	"MAFB"
"209719_x_at"	"0.0000598"	"1.99e-08"	"4.41"	"SERPINB3"
"235272_at"	"0.0000598"	"2.08e-08"	"4.64"	"SBSN"
"222830_at"	"0.000065"	"2.38e-08"	"3.51"	"GRHL1"
"231733_at"	"0.0000674"	"2.61e-08"	"3.00"	"CARD18"
"230835_at"	"0.0000674"	"2.71e-08"	"4.38"	"KRTDAP"
"209160_at"	"0.0000844"	"3.55e-08"	"3.17"	"AKR1C3"
"218990_s_at"	"0.0000849"	"4.06e-08"	"5.36"	"SPRR3"
"239381_at"	"0.0000849"	"4.16e-08"	"3.01"	"KLK7"
"217272_s_at"	"0.0000849"	"4.28e-08"	"2.52"	"SERPINB13"
"222223_s_at"	"0.0000849"	"4.34e-08"	"2.70"	"IL36RN"
"205916_at"	"0.0000849"	"4.41e-08"	"6.03"	"S100A7"
"210065_s_at"	"0.0000849"	"4.50e-08"	"2.97"	"UPK1B"
"219799_s_at"	"0.0000868"	"4.97e-08"	"2.51"	"DHRS9"
"206643_at"	"0.0000868"	"4.97e-08"	"2.99"	"HAL"
"205863_at"	"0.0000868"	"5.08e-08"	"5.26"	"S100A12"
"222549_at"	"0.0000986"	"6.57e-08"	"2.90"	"CLDN1"
"230323_s_at"	"0.0000986"	"6.62e-08"	"3.66"	"TMEM45B"
"214549_x_at"	"0.0000986"	"6.68e-08"	"3.86"	"SPRR1A"
"205513_at"	"0.0000986"	"6.69e-08"	"3.93"	"TCN1"
"203021_at"	"0.0000986"	"6.73e-08"	"3.84"	"SLPI"
"211361_s_at"	"0.0000986"	"6.85e-08"	"2.77"	"SERPINB13"
"41469_at"	"0.0001045"	"7.61e-08"	"4.31"	"PI3"
"243871_at"	"0.0001045"	"7.65e-08"	"2.58"	"LOC100130476"
"203980_at"	"0.0001109"	"8.42e-08"	"2.50"	"FABP4"
"231771_at"	"0.0001109"	"8.52e-08"	"2.88"	"GJB6"
"207935_s_at"	"0.0001278"	"1.01e-07"	"3.79"	"KRT13"
"238439_at"	"0.0001281"	"1.03e-07"	"2.78"	"ANKRD22"
"242204_at"	"0.0001346"	"1.13e-07"	"3.48"	"WFDC5"
"205470_s_at"	"0.0001346"	"1.14e-07"	"3.25"	"KLK11"
"203961_at"	"0.0001346"	"1.16e-07"	"2.64"	"NEBL"
"203691_at"	"0.00014"	"1.24e-07"	"4.32"	"PI3"
"206276_at"	"0.00014"	"1.25e-07"	"3.72"	"LY6D"
"1569144_a_at"	"0.0001434"	"1.31e-07"	"2.53"	"CYSRT1"
"1556793_a_at"	"0.0001461"	"1.36e-07"	"2.77"	"FAM83C"
"231148_at"	"0.0001512"	"1.44e-07"	"2.57"	"IGFL2"
"237732_at"	"0.0001586"	"1.54e-07"	"4.26"	"PRR9"
"227736_at"	"0.0001645"	"1.63e-07"	"2.29"	"C10orf99"
"219554_at"	"0.0001719"	"1.73e-07"	"3.27"	"RHCG"
"211597_s_at"	"0.000179"	"1.84e-07"	"2.34"	"HOPX"
"224329_s_at"	"0.000179"	"1.87e-07"	"3.24"	"CNFN"
"226560_at"	"0.0001861"	"1.99e-07"	"2.51"	"SGPP2"
"210413_x_at"	"0.0001861"	"2.01e-07"	"2.38"	"SERPINB4///SERPINB3"
"224328_s_at"	"0.0001883"	"2.07e-07"	"2.43"	"LCE3D"
"221805_at"	"0.0001895"	"2.13e-07"	"2.71"	"NEFL"
"229125_at"	"0.0001895"	"2.18e-07"	"2.04"	"KANK4"
"220322_at"	"0.0001895"	"2.24e-07"	"2.18"	"IL36G"
"225987_at"	"0.0001895"	"2.26e-07"	"2.28"	"STEAP4"
"204351_at"	"0.0001895"	"2.27e-07"	"3.62"	"S100P"
"231120_x_at"	"0.0001895"	"2.29e-07"	"2.14"	"PKIB"
"205778_at"	"0.0001992"	"2.50e-07"	"2.73"	"KLK7"
"209723_at"	"0.0001992"	"2.51e-07"	"2.60"	"SERPINB9"
"205064_at"	"0.0001992"	"2.51e-07"	"2.99"	"SPRR1B"
"223551_at"	"0.0002149"	"2.75e-07"	"2.00"	"PKIB"
"222484_s_at"	"0.0002221"	"2.88e-07"	"2.46"	"CXCL14"
