"ID"	"adj.P.Val"	"P.Value"	"logFC"	"Gene.symbol"
"221011_s_at"	"0.0909"	"0.00000225"	"1.78"	"LBH"
"230006_s_at"	"0.0909"	"0.00000332"	"-2.27"	"SVIP"
"228846_at"	"0.1195"	"0.00000781"	"-1.19"	"MXD1"
"224260_at"	"0.1195"	"0.00001185"	"1.03"	""
"218724_s_at"	"0.1195"	"0.00001324"	"1.50"	"TGIF2"
"230005_at"	"0.1195"	"0.00001406"	"-2.19"	"SVIP"
"212341_at"	"0.1195"	"0.00001692"	"-1.19"	"YIPF6"
"225295_at"	"0.1195"	"0.00001823"	"-1.50"	"SLC39A10"
"218627_at"	"0.1195"	"0.00001968"	"1.20"	"DRAM1"
"226668_at"	"0.139"	"0.00002542"	"-1.35"	"WDSUB1"
"235850_at"	"0.1452"	"0.00002921"	"8.95e-01"	"FAM162A"
"226155_at"	"0.1985"	"0.00004356"	"-8.59e-01"	"FAM160B1"
"242100_at"	"0.1989"	"0.00004918"	"1.29"	"CHSY3"
"227623_at"	"0.1989"	"0.00005316"	"-1.44"	"CACNA2D1"
"235489_at"	"0.1989"	"0.00006343"	"1.44"	"RHOJ"
"203766_s_at"	"0.1989"	"0.00007126"	"1.00"	"LMOD1"
"212343_at"	"0.1989"	"0.00007903"	"-1.29"	"YIPF6"
"226150_at"	"0.1989"	"0.00008278"	"-1.27"	"PLPP5"
"204732_s_at"	"0.1989"	"0.00008511"	"-9.66e-01"	"TRIM23"
"236223_s_at"	"0.1989"	"0.00008724"	"9.41e-01"	"RIT1"
"228418_at"	"0.1989"	"0.0000891"	"-9.46e-01"	"EXOC5"
"228087_at"	"0.1989"	"0.00009842"	"-1.29"	"CCDC126"
"200046_at"	"0.1989"	"0.00009867"	"-1.48"	"DAD1"
"224769_at"	"0.1989"	"0.00011316"	"-8.08e-01"	"TAOK1"
"1555058_a_at"	"0.1989"	"0.00011445"	"-1.24"	"LPGAT1"
"229480_at"	"0.1989"	"0.00011542"	"-8.88e-01"	"MAGI2-AS3"
"202651_at"	"0.1989"	"0.00012089"	"-1.13"	"LPGAT1"
"203563_at"	"0.1989"	"0.00012225"	"6.69e-01"	"AFAP1"
"202169_s_at"	"0.1989"	"0.00013115"	"-1.77"	"AASDHPPT"
"236290_at"	"0.1989"	"0.00013284"	"2.06"	"DOK6"
"212687_at"	"0.1989"	"0.00013322"	"-6.90e-01"	"LIMS4///LIMS3///LIMS1"
"225214_at"	"0.1989"	"0.00013399"	"9.34e-01"	"LOC100129034"
"228191_at"	"0.1989"	"0.00013907"	"-1.24"	"FLVCR1"
"235396_at"	"0.1989"	"0.00013991"	"-1.36"	"TANGO2"
"202234_s_at"	"0.1989"	"0.00014269"	"1.05"	"SLC16A1"
"218201_at"	"0.1989"	"0.00014383"	"-8.24e-01"	"NDUFB2"
"203188_at"	"0.1989"	"0.00014691"	"7.70e-01"	"B4GAT1"
"200925_at"	"0.1989"	"0.00014756"	"-7.36e-01"	"COX6A1"
"208958_at"	"0.1989"	"0.00014805"	"7.90e-01"	"ERP44"
"225012_at"	"0.1989"	"0.00014905"	"6.23e-01"	"HDLBP"
"202606_s_at"	"0.1989"	"0.00014935"	"-8.64e-01"	"TLK1"
"225927_at"	"0.1989"	"0.00015497"	"1.05"	"MAP3K1"
"222931_s_at"	"0.1989"	"0.00016075"	"-9.74e-01"	"THNSL1"
"213112_s_at"	"0.1989"	"0.00016347"	"-1.78"	"SQSTM1"
"226563_at"	"0.1989"	"0.00016372"	"7.41e-01"	"SMAD2"
"209900_s_at"	"0.1997"	"0.00016802"	"7.49e-01"	"SLC16A1"
"227027_at"	"0.2098"	"0.00018349"	"-9.07e-01"	"GFPT1"
"221935_s_at"	"0.2098"	"0.00018419"	"-1.33"	"EOGT"
"207105_s_at"	"0.2146"	"0.00019229"	"6.95e-01"	"PIK3R2"
"201572_x_at"	"0.2166"	"0.00019875"	"-1.31"	"DCTD"
"212068_s_at"	"0.2166"	"0.00020201"	"1.14"	"PRRC2B"
"200975_at"	"0.2191"	"0.00020841"	"-6.73e-01"	"PPT1"
"224704_at"	"0.2323"	"0.0002285"	"5.90e-01"	"TNRC6A"
"225796_at"	"0.2323"	"0.00022942"	"8.84e-01"	"PXK"
"1570155_at"	"0.2367"	"0.00023814"	"-1.22"	"LINC01111"
"237299_at"	"0.2478"	"0.00025379"	"1.31"	"NARF"
"220494_s_at"	"0.2583"	"0.00027301"	"9.91e-01"	""
"227639_at"	"0.2583"	"0.00027402"	"-1.34"	"PIGK"
"218200_s_at"	"0.2675"	"0.00029354"	"-7.53e-01"	"NDUFB2"
"229036_at"	"0.2675"	"0.00029704"	"-1.00"	"TNRC6B"
"224691_at"	"0.2675"	"0.00030582"	"-1.68"	"UHMK1"
"205052_at"	"0.2675"	"0.00030797"	"-1.02"	"AUH"
"212096_s_at"	"0.2675"	"0.00030826"	"2.02"	"MTUS1"
"238444_at"	"0.2707"	"0.00031687"	"5.84e-01"	"ZNF618"
"205383_s_at"	"0.309"	"0.0003715"	"-1.09"	"ZBTB20"
"227131_at"	"0.309"	"0.00037297"	"6.95e-01"	"MAP3K3"
"204063_s_at"	"0.3129"	"0.00038508"	"-8.93e-01"	"ULK2"
"203253_s_at"	"0.3129"	"0.00038915"	"-1.63"	"PPIP5K2"
"209489_at"	"0.3163"	"0.00040128"	"-1.07"	"CELF1"
"226421_at"	"0.3163"	"0.00040499"	"-8.99e-01"	"AMMECR1"
"226590_at"	"0.3168"	"0.00041724"	"1.03"	"ZNF618"
"225546_at"	"0.3168"	"0.00041761"	"5.19e-01"	"LOC101930123///EEF2K"
"210137_s_at"	"0.3168"	"0.00042616"	"-1.56"	"DCTD"
