"ID"	"adj.P.Val"	"P.Value"	"logFC"	"Gene.symbol"
"201348_at"	"0.42"	"0.0000418"	"-1.6341148"	"GPX3"
"208328_s_at"	"0.42"	"0.0000641"	"-1.7403253"	"MEF2A"
"37170_at"	"0.42"	"0.0001433"	"-0.8787691"	"BMP2K"
"201169_s_at"	"0.42"	"0.0001717"	"-1.3946091"	"BHLHE40"
"242349_at"	"0.42"	"0.0002224"	"-1.9466681"	"HECTD1"
"211354_s_at"	"0.42"	"0.0002632"	"-1.2817653"	"LEPROT///LEPR"
"230400_s_at"	"0.42"	"0.0002856"	"-0.8993056"	""
"206848_at"	"0.42"	"0.000334"	"-1.1335867"	"COX20"
"238868_at"	"0.42"	"0.0004687"	"-1.4605138"	"UACA"
"234344_at"	"0.42"	"0.0004882"	"-1.3370702"	"LOC100288675"
"220141_at"	"0.42"	"0.0005396"	"-0.9962248"	"C11orf63"
"202129_s_at"	"0.42"	"0.0005657"	"-0.8554866"	"RIOK3"
"228509_at"	"0.42"	"0.0005773"	"-2.2116395"	"SPHKAP"
"233819_s_at"	"0.42"	"0.0005792"	"-1.4133123"	"LTN1"
"228487_s_at"	"0.42"	"0.0006105"	"-0.8880781"	""
"233750_s_at"	"0.42"	"0.0006181"	"-1.5705599"	"TRMT1L"
"215891_s_at"	"0.42"	"0.0006227"	"-1.9097645"	"GM2A"
"1554145_a_at"	"0.42"	"0.0006351"	"-1.3869942"	"PPP1R21"
"214660_at"	"0.42"	"0.0007297"	"-1.4060429"	"ITGA1"
"226868_at"	"0.42"	"0.0007418"	"-1.7426212"	"GXYLT1"
"210255_at"	"0.42"	"0.0007579"	"-0.9466351"	"RAD51B"
"235388_at"	"0.42"	"0.0007675"	"-1.2049583"	"CHD9"
"208562_s_at"	"0.42"	"0.0007818"	"-2.1556819"	"ABCC9"
"221596_s_at"	"0.42"	"0.0007854"	"-1.3272799"	"RBM48"
"223696_at"	"0.42"	"0.0008391"	"-0.9133492"	"ARSD"
"229088_at"	"0.42"	"0.0008709"	"-1.7963182"	"ENPP1"
"238960_s_at"	"0.42"	"0.0009012"	"-1.8315475"	"LARP4"
"214649_s_at"	"0.42"	"0.0009089"	"-1.8143061"	"MTMR2"
"227112_at"	"0.42"	"0.0009161"	"-1.024393"	"TMCC1"
"204435_at"	"0.42"	"0.0009473"	"-1.5922056"	"NUP58"
"205018_s_at"	"0.42"	"0.0009507"	"-1.2681891"	"MBNL2"
"221185_s_at"	"0.42"	"0.0009614"	"-1.7509039"	"IQCG"
"1553971_a_at"	"0.42"	"0.0009817"	"0.8360035"	"GATS"
"235516_at"	"0.42"	"0.0009873"	"-0.6922657"	"SEPSECS"
"216317_x_at"	"0.42"	"0.0009923"	"-0.7697898"	"RHD///RHCE"
"241710_at"	"0.42"	"0.0010122"	"-0.9791885"	"C1GALT1C1L"
"218789_s_at"	"0.42"	"0.0010211"	"-0.9924969"	"C11orf71"
"1555175_a_at"	"0.42"	"0.0010241"	"-0.7349471"	"PBLD"
"208561_at"	"0.42"	"0.0010448"	"-1.7788677"	"ABCC9"
"225111_s_at"	"0.42"	"0.0010498"	"-0.73229"	"NAPB"
"242317_at"	"0.42"	"0.001054"	"-1.2895875"	"HIGD1A"
"238539_at"	"0.42"	"0.001057"	"-1.5562322"	"HPS3"
"232940_s_at"	"0.42"	"0.001074"	"-1.3130951"	"KMT2C"
"208180_s_at"	"0.42"	"0.0010894"	"-1.1421795"	"HIST1H4H"
"201732_s_at"	"0.42"	"0.0011123"	"-1.1903016"	"CLCN3"
"217383_at"	"0.42"	"0.00113"	"-1.2676101"	"PGK1"
"228029_at"	"0.42"	"0.0011467"	"-1.2539397"	"ZNF721"
"238505_at"	"0.42"	"0.0011595"	"-1.1394613"	"ADPRH"
"206429_at"	"0.42"	"0.0011787"	"-2.0575437"	"F2RL1"
"243188_at"	"0.42"	"0.0011894"	"-0.7311512"	"ZNF283"
"226407_at"	"0.42"	"0.0011986"	"-1.4114723"	"TPT1-AS1"
"210188_at"	"0.42"	"0.001204"	"-0.9303672"	"GABPA"
"227883_at"	"0.42"	"0.0012042"	"-2.0089747"	"CCDC71L"
"224854_s_at"	"0.42"	"0.0012261"	"-1.2629354"	"SLAIN2"
"211355_x_at"	"0.42"	"0.0012486"	"-1.0060239"	"LEPROT///LEPR"
"221015_s_at"	"0.42"	"0.0012503"	"-1.1655077"	"CDADC1"
"244835_at"	"0.42"	"0.0012644"	"-1.4315315"	"C16orf52"
"202883_s_at"	"0.42"	"0.001274"	"-1.4110265"	"PPP2R1B"
"1554029_a_at"	"0.42"	"0.0012963"	"-2.3147924"	"TTC37"
"230314_at"	"0.42"	"0.0013072"	"-1.1630855"	""
"203347_s_at"	"0.42"	"0.0013078"	"-1.2363809"	"MTF2"
"224465_s_at"	"0.42"	"0.0013313"	"-0.850535"	"PYM1"
"1558680_s_at"	"0.42"	"0.0013523"	"-1.216707"	"PDE1A"
"215415_s_at"	"0.42"	"0.0013867"	"-1.059461"	"LYST"
"235010_at"	"0.42"	"0.001391"	"-1.5633414"	"ZBED5-AS1"
"229377_at"	"0.42"	"0.0013958"	"-1.5270827"	"GRTP1"
"1564746_at"	"0.42"	"0.0013958"	"-1.6578867"	"SLC9B2"
"239775_at"	"0.42"	"0.001399"	"-0.7467158"	"LOC101927609"
"228607_at"	"0.42"	"0.0014242"	"-1.9226003"	"OAS2"
"219949_at"	"0.42"	"0.0014456"	"-1.2756624"	"LRRC2"
"225922_at"	"0.42"	"0.0014596"	"-1.6419282"	"FNIP2"
"205659_at"	"0.42"	"0.001468"	"-1.2100111"	"HDAC9"
"207018_s_at"	"0.42"	"0.0014836"	"-1.6266919"	"RAB27B"
"1567014_s_at"	"0.42"	"0.0015033"	"-1.413997"	"NFE2L2///CSNK2A1"
"217486_s_at"	"0.42"	"0.0015039"	"-1.4866387"	"ZDHHC17"
"239406_at"	"0.42"	"0.001513"	"-1.0767844"	"ZSCAN9"
"223794_at"	"0.42"	"0.0015191"	"-0.9686501"	"ARMC4"
"226274_at"	"0.42"	"0.0015295"	"-1.1082158"	"CLCN5"
"229027_at"	"0.42"	"0.0015371"	"-1.0649241"	"PPM1A"
"237460_x_at"	"0.42"	"0.001541"	"-0.7032283"	"LINC01588"
"226853_at"	"0.42"	"0.0015613"	"-1.1388123"	"BMP2K"
"202128_at"	"0.42"	"0.0016025"	"-1.3103021"	"AREL1"
"212105_s_at"	"0.42"	"0.0016246"	"-1.9336866"	"DHX9"
"221330_at"	"0.42"	"0.0016569"	"-1.2009099"	"CHRM2"
"238469_at"	"0.42"	"0.0016651"	"-1.4913611"	"OGFRL1"
"240947_at"	"0.42"	"0.0016875"	"-0.7554432"	"ANO6"
"227641_at"	"0.42"	"0.0016952"	"-0.9755862"	"FBXL16"
"206553_at"	"0.42"	"0.0017226"	"-1.9016178"	"OAS2"
"211329_x_at"	"0.42"	"0.0017534"	"-1.5328531"	"HFE"
"226962_at"	"0.42"	"0.0017642"	"-1.009463"	"ZBTB41"
"214091_s_at"	"0.42"	"0.0017645"	"-2.1581537"	"GPX3"
"241955_at"	"0.42"	"0.0017869"	"-1.7939209"	"HECTD1"
"202880_s_at"	"0.42"	"0.0018047"	"-0.7262578"	"CYTH1"
"242465_at"	"0.42"	"0.0018305"	"-1.3990099"	"GAPLINC"
"222545_s_at"	"0.42"	"0.0018516"	"-0.9474729"	"TMEM254"
"201775_s_at"	"0.42"	"0.0019098"	"-1.701031"	"EFCAB14"
"216985_s_at"	"0.42"	"0.0019141"	"-1.4158226"	"STX3"
"224035_s_at"	"0.42"	"0.0019143"	"-0.9729901"	"BCL2L13"
"231781_s_at"	"0.42"	"0.0019233"	"-1.5444767"	"LRRC2"
"209314_s_at"	"0.42"	"0.0019311"	"-1.5792561"	"HBS1L"
"1555830_s_at"	"0.42"	"0.00198"	"-1.099145"	"ESYT2"
"238467_at"	"0.42"	"0.001986"	"-1.0371428"	"DYNLL2"
"1555384_a_at"	"0.42"	"0.0020071"	"-1.5342824"	"LARP4"
"226432_at"	"0.42"	"0.0020145"	"-1.3036965"	"ETNK1"
"1554726_at"	"0.42"	"0.0020421"	"-0.9685204"	"ZNF655"
"207833_s_at"	"0.42"	"0.0020443"	"-0.9467906"	"HLCS"
"202928_s_at"	"0.42"	"0.0020519"	"1.0830803"	"PHF1"
"236141_at"	"0.42"	"0.002079"	"-0.7255277"	"HAND2-AS1"
"231954_at"	"0.42"	"0.0021301"	"-0.8386036"	"MIR4453///DKFZP434I0714"
"210448_s_at"	"0.42"	"0.0021651"	"-1.6979242"	"P2RX5"
"1554767_s_at"	"0.42"	"0.002181"	"-0.8852398"	"CRYZL1"
"244849_at"	"0.42"	"0.0022004"	"-1.0145931"	"SEMA3A"
"219691_at"	"0.42"	"0.0022594"	"-0.999105"	"SAMD9"
"224453_s_at"	"0.42"	"0.0022804"	"-0.9354125"	"ETNK1"
"219081_at"	"0.42"	"0.0022917"	"-1.0326052"	"ANKHD1-EIF4EBP3///ANKHD1"
"225914_s_at"	"0.42"	"0.0022948"	"-1.6614786"	"CAB39L"
"210988_s_at"	"0.42"	"0.0023072"	"-0.5936964"	"PRUNE1"
"235189_at"	"0.42"	"0.00231"	"-1.2942332"	"ICE2"
