"ID"	"adj.P.Val"	"P.Value"	"logFC"	"Gene.symbol"
"206029_at"	"0.799"	"0.0000606"	"3.29"	"ANKRD1"
"244403_at"	"0.799"	"0.0001181"	"3.33"	"CRB1"
"223047_at"	"0.799"	"0.0001853"	"-2.29"	"CMTM6"
"212446_s_at"	"0.799"	"0.0002805"	"-2.22"	"CERS6"
"228284_at"	"0.799"	"0.0002883"	"2.05"	"TLE1"
"217947_at"	"0.799"	"0.0003521"	"-2.09"	"CMTM6"
"220342_x_at"	"0.799"	"0.0003659"	"-2.00"	"EDEM3"
"235944_at"	"0.799"	"0.0003899"	"1.88"	"HMCN1"
"1569582_at"	"0.799"	"0.0003946"	"2.91"	"AADACP1"
"212442_s_at"	"0.799"	"0.0003969"	"-1.84"	"CERS6"
"1553976_a_at"	"0.799"	"0.0003971"	"1.84"	"DPCD"
"214079_at"	"0.799"	"0.0004358"	"2.14"	"DHRS2"
"213558_at"	"0.799"	"0.0004371"	"1.81"	"PCLO"
"240089_at"	"0.799"	"0.0004475"	"-1.97"	""
"212195_at"	"0.799"	"0.0004602"	"-1.79"	"IL6ST"
"201667_at"	"0.799"	"0.0004846"	"-1.74"	"GJA1"
"1558501_at"	"0.799"	"0.0004897"	"2.08"	"DNM3"
"211749_s_at"	"0.799"	"0.0004959"	"-1.73"	"VAMP3"
"201337_s_at"	"0.799"	"0.0005325"	"-1.70"	"VAMP3"
"223243_s_at"	"0.799"	"0.0005395"	"-1.69"	"EDEM3"
"206239_s_at"	"0.799"	"0.0005713"	"2.33"	"SPINK1"
"212526_at"	"0.799"	"0.0005992"	"-2.04"	"SPG20"
"201109_s_at"	"0.799"	"0.0006161"	"1.64"	"THBS1"
"210732_s_at"	"0.799"	"0.0006327"	"1.76"	"LGALS8"
"225239_at"	"0.799"	"0.0006708"	"-2.57"	"MIR612///NEAT1"
"228149_at"	"0.799"	"0.000682"	"-2.48"	"BMT2"
"201336_at"	"0.799"	"0.00078"	"-1.81"	"VAMP3"
"226789_at"	"0.799"	"0.0008203"	"-1.50"	"EMB"
"226009_at"	"0.799"	"0.0008386"	"1.51"	"DPCD"
"226302_at"	"0.799"	"0.0008424"	"1.49"	"ATP8B1"
"219582_at"	"0.799"	"0.0008655"	"1.48"	"OGFRL1"
"243198_at"	"0.799"	"0.0008711"	"1.50"	"TEX9"
"226992_at"	"0.799"	"0.0008953"	"1.74"	"NOSTRIN"
"59437_at"	"0.799"	"0.0009283"	"1.46"	"C9orf116"
"220926_s_at"	"0.799"	"0.0009302"	"-2.01"	"EDEM3"
"208644_at"	"0.799"	"0.0009471"	"-1.52"	"PARP1"
"241968_at"	"0.799"	"0.0010187"	"-1.43"	"ABHD18"
"235512_at"	"0.799"	"0.0010273"	"1.42"	"CDKL1"
"212474_at"	"0.799"	"0.0010524"	"-1.49"	"AVL9"
"1560286_s_at"	"0.799"	"0.0010658"	"1.42"	"LOC101928955"
"205289_at"	"0.799"	"0.001129"	"1.40"	"BMP2"
"209230_s_at"	"0.799"	"0.0011308"	"1.68"	"NUPR1"
"222951_s_at"	"0.799"	"0.0011326"	"1.47"	"ANKEF1"
"233504_at"	"0.799"	"0.0011393"	"1.97"	"C9orf84"
"207717_s_at"	"0.799"	"0.0011455"	"1.42"	"PKP2"
"243179_at"	"0.799"	"0.0011567"	"1.41"	"LOC101928433"
"202133_at"	"0.799"	"0.0011774"	"-1.52"	"WWTR1"
"234989_at"	"0.799"	"0.0011775"	"-2.82"	"MIR612///NEAT1"
"202543_s_at"	"0.799"	"0.0011786"	"-1.36"	"GMFB"
"201981_at"	"0.799"	"0.001188"	"1.40"	"PAPPA"
"236543_at"	"0.799"	"0.0012013"	"1.60"	""
"208788_at"	"0.799"	"0.001217"	"-1.40"	"ELOVL5"
"220921_at"	"0.799"	"0.0012309"	"1.55"	"SPANXB1"
"206343_s_at"	"0.799"	"0.0012422"	"1.50"	"NRG1"
"1552716_at"	"0.799"	"0.0012424"	"1.34"	"SPEF2"
"1554019_s_at"	"0.799"	"0.0012523"	"-1.33"	"CEP57L1"
"220407_s_at"	"0.799"	"0.0012616"	"1.47"	"TGFB2"
"220922_s_at"	"0.799"	"0.0012663"	"1.33"	"SPANXA2///SPANXB1///SPANXC///SPANXA1"
"208180_s_at"	"0.799"	"0.0012843"	"1.80"	"HIST1H4H"
"227088_at"	"0.799"	"0.0012984"	"1.39"	"PDE5A"
"226485_at"	"0.799"	"0.0013003"	"-1.89"	"LOC101928274///VSIG10"
"227369_at"	"0.799"	"0.0013066"	"-1.66"	"SERBP1"
"204863_s_at"	"0.799"	"0.001338"	"-1.32"	"IL6ST"
"206569_at"	"0.799"	"0.0013807"	"1.41"	"IL24"
"211756_at"	"0.799"	"0.0013852"	"1.44"	"PTHLH"
"205832_at"	"0.799"	"0.0013889"	"1.37"	"CPA4"
"235733_at"	"0.799"	"0.0014255"	"1.33"	"GXYLT2"
"231319_x_at"	"0.799"	"0.0014279"	"1.30"	"KIF9"
"222712_s_at"	"0.799"	"0.001437"	"1.41"	"MUC13"
"223427_s_at"	"0.799"	"0.0014399"	"1.29"	"EPB41L4B"
"219934_s_at"	"0.799"	"0.0014411"	"1.28"	"SULT1E1"
"220173_at"	"0.799"	"0.0014449"	"1.37"	"BBOF1"
"204435_at"	"0.799"	"0.0014486"	"-1.36"	"NUP58"
"221946_at"	"0.799"	"0.0014555"	"1.32"	"C9orf116"
"206306_at"	"0.799"	"0.0014567"	"1.32"	"RYR3"
"220144_s_at"	"0.799"	"0.0014613"	"1.65"	"ANKEF1"
"221773_at"	"0.799"	"0.0014719"	"-1.33"	"ELK3"
"212143_s_at"	"0.799"	"0.0014801"	"1.82"	"IGFBP3"
"219926_at"	"0.799"	"0.0015215"	"1.26"	"POPDC3"
"224394_at"	"0.799"	"0.0015325"	"1.26"	"RNF7"
"224944_at"	"0.799"	"0.0015742"	"-1.44"	"TMPO"
"224452_s_at"	"0.799"	"0.0016011"	"-1.66"	"FAM220A"
"201110_s_at"	"0.799"	"0.0016042"	"1.38"	"THBS1"
"218687_s_at"	"0.799"	"0.0016074"	"1.44"	"MUC13"
"241376_at"	"0.799"	"0.0016399"	"-1.25"	""
"235278_at"	"0.799"	"0.001646"	"1.24"	"MACROD2"
"204363_at"	"0.799"	"0.0016551"	"1.27"	"F3"
"225056_at"	"0.799"	"0.0017466"	"1.28"	"SIPA1L2"
"241713_s_at"	"0.799"	"0.0017514"	"1.95"	"DYX1C1-CCPG1///DYX1C1"
"204855_at"	"0.799"	"0.0017516"	"1.58"	"SERPINB5"
"215358_x_at"	"0.799"	"0.001755"	"1.22"	"ZNF37BP"
"239028_at"	"0.799"	"0.0017595"	"1.24"	"LYPD6"
"227461_at"	"0.799"	"0.0017616"	"1.22"	"STON2"
"227062_at"	"0.799"	"0.0017906"	"-2.87"	"MIR612///NEAT1"
"209781_s_at"	"0.799"	"0.0018098"	"1.20"	"KHDRBS3"
"206084_at"	"0.799"	"0.001812"	"2.10"	"PTPRR"
"1552970_s_at"	"0.799"	"0.0018221"	"1.31"	"ZMYM6"
"202059_s_at"	"0.799"	"0.0018342"	"-1.34"	"KPNA1"
"221561_at"	"0.799"	"0.0018431"	"-1.41"	"SOAT1"
"219501_at"	"0.799"	"0.001845"	"1.34"	"ENOX1"
"219764_at"	"0.799"	"0.0018459"	"-1.74"	"FZD10"
"205624_at"	"0.799"	"0.0018797"	"1.61"	"CPA3"
"230251_at"	"0.799"	"0.0019086"	"1.20"	"LINC00473"
"202132_at"	"0.799"	"0.0019264"	"-1.21"	"WWTR1"
"225083_at"	"0.799"	"0.0019397"	"-1.34"	"GTF3C6"
"238740_at"	"0.799"	"0.0020001"	"1.18"	"PTGES3L"
"228121_at"	"0.799"	"0.0020051"	"1.31"	"TGFB2"
"221478_at"	"0.799"	"0.0020173"	"-2.61"	"BNIP3L"
"221601_s_at"	"0.799"	"0.0020295"	"1.73"	"FCMR"
"204682_at"	"0.799"	"0.0020477"	"-1.28"	"LTBP2"
"219938_s_at"	"0.799"	"0.0020635"	"1.28"	"PSTPIP2"
"227236_at"	"0.799"	"0.002074"	"1.21"	"TSPAN2"
"224653_at"	"0.799"	"0.0020902"	"-1.38"	"EIF4EBP2"
"235457_at"	"0.799"	"0.0020952"	"-1.19"	"MAML2"
"235086_at"	"0.799"	"0.0021019"	"1.21"	"THBS1"
"226685_at"	"0.799"	"0.0021179"	"-1.15"	"SNTB2"
"206170_at"	"0.799"	"0.0021438"	"1.15"	"ADRB2"
"244661_at"	"0.799"	"0.0021529"	"-2.50"	"SOAT1"
"237435_at"	"0.799"	"0.002155"	"1.39"	""
"241759_at"	"0.799"	"0.0021814"	"1.33"	"KCNK15-AS1"
"228429_x_at"	"0.799"	"0.0021817"	"1.14"	"KIF9"
"222549_at"	"0.799"	"0.0021857"	"1.24"	"CLDN1"
"224650_at"	"0.799"	"0.002202"	"1.42"	"MAL2"
"212792_at"	"0.799"	"0.0022195"	"-1.20"	"DPY19L1"
"202796_at"	"0.799"	"0.0022561"	"1.13"	"SYNPO"
"219450_at"	"0.799"	"0.00226"	"1.42"	"C4orf19"
"241198_s_at"	"0.799"	"0.0022602"	"1.42"	"C11orf70"
"219629_at"	"0.799"	"0.0022696"	"1.28"	"FAM118A"
"225950_at"	"0.799"	"0.0022783"	"-1.20"	"SAMD8"
"237400_at"	"0.799"	"0.0022921"	"1.12"	"ATP5S"
"201538_s_at"	"0.799"	"0.002301"	"1.28"	"DUSP3"
"228441_s_at"	"0.799"	"0.0023012"	"1.12"	""
"242463_x_at"	"0.799"	"0.0023067"	"1.14"	"ZNF600"
"220468_at"	"0.799"	"0.0023068"	"2.27"	"ARL14"
"237227_at"	"0.799"	"0.0023543"	"1.51"	"NEK10"
"226641_at"	"0.799"	"0.0024679"	"-1.42"	"ANKRD44"
"212964_at"	"0.799"	"0.0024764"	"1.45"	"HIC2"
"229070_at"	"0.799"	"0.0024922"	"1.18"	"ADTRP"
"235498_at"	"0.799"	"0.0025282"	"1.23"	"LRRIQ3"
"208257_x_at"	"0.799"	"0.0025532"	"1.10"	"PSG1"
"205132_at"	"0.799"	"0.0025635"	"1.62"	"ACTC1"
"227584_at"	"0.799"	"0.0025763"	"-1.20"	"NAV1"
"213158_at"	"0.799"	"0.0025931"	"-1.09"	"ZBTB20"
"1554195_a_at"	"0.799"	"0.0026041"	"2.51"	"C5orf46"
"224772_at"	"0.799"	"0.002608"	"-1.09"	"NAV1"
"228129_at"	"0.799"	"0.0026119"	"-1.26"	"SERBP1"
"203407_at"	"0.799"	"0.0026137"	"1.19"	"PPL"
"218793_s_at"	"0.799"	"0.0026491"	"-1.08"	"SCML1"
"203908_at"	"0.799"	"0.0026693"	"-1.79"	"SLC4A4"
"205767_at"	"0.799"	"0.0026881"	"1.69"	"EREG"
"202847_at"	"0.799"	"0.0027176"	"1.08"	"PCK2"
"208737_at"	"0.799"	"0.0027661"	"-1.10"	"ATP6V1G1"
"225229_at"	"0.799"	"0.0027833"	"-1.16"	"AFF4"
"222751_at"	"0.799"	"0.0027851"	"-1.09"	"HERPUD2"
"225902_at"	"0.799"	"0.002804"	"-1.10"	"PPIG"
"225159_s_at"	"0.799"	"0.0028187"	"-1.14"	"ELK4"
"225048_at"	"0.799"	"0.0028277"	"-1.28"	"PHF10"
"239823_at"	"0.799"	"0.0028301"	"1.35"	"LOC101927841"
"204666_s_at"	"0.799"	"0.0028385"	"1.12"	"SIKE1"
"201141_at"	"0.799"	"0.0028489"	"1.06"	"GPNMB"
"224811_at"	"0.799"	"0.0028684"	"-1.36"	"LPP"
"227107_at"	"0.799"	"0.0028706"	"-1.13"	"PANX1"
"203217_s_at"	"0.799"	"0.0029308"	"-1.07"	"ST3GAL5"
"213353_at"	"0.799"	"0.0029466"	"1.15"	"ABCA5"
"203413_at"	"0.799"	"0.0029597"	"1.06"	"NELL2"
"211732_x_at"	"0.799"	"0.0029766"	"1.05"	"HNMT"
"201279_s_at"	"0.799"	"0.0029787"	"1.19"	"LOC101926921///DAB2"
"226697_at"	"0.799"	"0.002989"	"1.19"	"FAM114A1"
