"ID"	"adj.P.Val"	"P.Value"	"logFC"	"Gene.symbol"
"1565913_at"	"1"	"0.000277"	"2.83"	""
"206569_at"	"1"	"0.0008"	"1.65"	"IL24"
"206029_at"	"1"	"0.000867"	"-1.58"	"ANKRD1"
"239872_at"	"1"	"0.001608"	"1.30"	""
"226697_at"	"1"	"0.002042"	"1.33"	"FAM114A1"
"225056_at"	"1"	"0.002545"	"1.15"	"SIPA1L2"
"202821_s_at"	"1"	"0.002881"	"1.05"	"LPP"
"220180_at"	"1"	"0.002973"	"1.04"	"CCDC68"
"229307_at"	"1"	"0.003196"	"1.08"	"ANKRD28"
"1565830_at"	"1"	"0.003199"	"-1.21"	""
"223916_s_at"	"1"	"0.003285"	"1.07"	"BCOR"
"226419_s_at"	"1"	"0.003339"	"-1.18"	"SRSF1"
"210057_at"	"1"	"0.003349"	"1.01"	"LOC101060386///BOLA2///SMG1"
"231929_at"	"1"	"0.003411"	"1.01"	"IKZF2"
"1559401_a_at"	"1"	"0.00343"	"1.01"	""
"241765_at"	"1"	"0.00349"	"9.94e-01"	"CPM"
"228284_at"	"1"	"0.003513"	"1.01"	"TLE1"
"213865_at"	"1"	"0.003556"	"1.01"	"DCBLD2"
"243008_at"	"1"	"0.003901"	"9.93e-01"	"RHEB"
"1557749_at"	"1"	"0.004044"	"9.54e-01"	"EHBP1L1"
"213446_s_at"	"1"	"0.004131"	"1.01"	"IQGAP1"
"209821_at"	"1"	"0.004139"	"1.49"	"IL33"
"238317_x_at"	"1"	"0.004362"	"9.50e-01"	""
"228562_at"	"1"	"0.004972"	"9.00e-01"	"ZBTB10"
"211756_at"	"1"	"0.004992"	"9.92e-01"	"PTHLH"
"230180_at"	"1"	"0.005076"	"1.03"	"DDX17"
"230493_at"	"1"	"0.00544"	"8.79e-01"	"SHISA2"
"210732_s_at"	"1"	"0.005442"	"9.52e-01"	"LGALS8"
"214657_s_at"	"1"	"0.005517"	"9.86e-01"	"MIR612///NEAT1"
"230064_at"	"1"	"0.005621"	"8.89e-01"	""
"214375_at"	"1"	"0.005885"	"8.53e-01"	"PPFIBP1"
"242722_at"	"1"	"0.005887"	"1.14"	"LMO7"
"1557852_at"	"1"	"0.005934"	"8.58e-01"	"PHC2"
"211742_s_at"	"1"	"0.006083"	"8.46e-01"	"EVI2B"
"209761_s_at"	"1"	"0.006114"	"9.00e-01"	"SP110"
"210587_at"	"1"	"0.006178"	"8.46e-01"	"INHBE"
"214295_at"	"1"	"0.006231"	"9.09e-01"	"KIAA0485"
"1555292_at"	"1"	"0.006303"	"8.35e-01"	"STRIP2"
"232472_at"	"1"	"0.006665"	"9.78e-01"	""
"1555785_a_at"	"1"	"0.006872"	"8.79e-01"	"XRN1"
"233700_at"	"1"	"0.006975"	"8.15e-01"	"PPP1R12B"
"228573_at"	"1"	"0.007085"	"8.10e-01"	"ANTXR2"
"1569477_at"	"1"	"0.007481"	"8.40e-01"	""
"243089_at"	"1"	"0.007653"	"8.16e-01"	""
"235023_at"	"1"	"0.007654"	"1.12"	"VPS13C"
"60815_at"	"1"	"0.007696"	"8.03e-01"	"POLR2J4"
"1554277_s_at"	"1"	"0.007738"	"9.43e-01"	"FANCM"
"215358_x_at"	"1"	"0.007812"	"7.86e-01"	"ZNF37BP"
"205564_at"	"1"	"0.007854"	"-7.87e-01"	"PAGE4"
"227486_at"	"1"	"0.00788"	"8.01e-01"	"NT5E"
"65438_at"	"1"	"0.007881"	"1.04"	"TLDC1"
"232094_at"	"1"	"0.00808"	"1.03"	"KATNBL1"
"230392_at"	"1"	"0.008179"	"1.14"	""
"206348_s_at"	"1"	"0.008188"	"7.86e-01"	"PDK3"
"1553994_at"	"1"	"0.008225"	"7.79e-01"	"NT5E"
"231546_at"	"1"	"0.008238"	"7.76e-01"	""
"212636_at"	"1"	"0.008272"	"7.70e-01"	"QKI"
"204036_at"	"1"	"0.008314"	"8.88e-01"	"LPAR1"
"229732_at"	"1"	"0.008641"	"8.00e-01"	"ZNF823"
"240262_at"	"1"	"0.008672"	"1.08"	""
"223599_at"	"1"	"0.008727"	"7.58e-01"	"TRIM6"
"239649_at"	"1"	"0.008731"	"7.61e-01"	""
"202663_at"	"1"	"0.00881"	"8.32e-01"	"WIPF1"
"AFFX-r2-Bs-lys-5_at"	"1"	"0.008819"	"9.89e-01"	""
"240594_at"	"1"	"0.008885"	"8.25e-01"	""
"238462_at"	"1"	"0.008998"	"9.17e-01"	"UBASH3B"
"238029_s_at"	"1"	"0.009127"	"7.62e-01"	"SLC16A14"
"1559663_at"	"1"	"0.009287"	"1.15"	""
"227703_s_at"	"1"	"0.009396"	"7.85e-01"	"SYTL4"
"231121_at"	"1"	"0.009398"	"7.43e-01"	"HPS3"
"203882_at"	"1"	"0.009558"	"8.02e-01"	"IRF9"
"1558378_a_at"	"1"	"0.009627"	"1.22"	"AHNAK2"
"1558678_s_at"	"1"	"0.009785"	"7.43e-01"	"MALAT1"
"230831_at"	"1"	"0.009994"	"9.57e-01"	"FRMD5"
"218469_at"	"1"	"0.010175"	"8.85e-01"	"GREM1"
"230538_at"	"1"	"0.01018"	"8.09e-01"	"SHC4"
"227542_at"	"1"	"0.010264"	"8.84e-01"	"SOCS6"
"206432_at"	"1"	"0.01043"	"7.20e-01"	"HAS2"
"214462_at"	"1"	"0.01043"	"7.18e-01"	"SOCS6"
"237492_at"	"1"	"0.010455"	"7.34e-01"	""
"238341_at"	"1"	"0.010482"	"7.99e-01"	""
"243213_at"	"1"	"0.010515"	"7.16e-01"	"STAT3"
"AFFX-LysX-5_at"	"1"	"0.010528"	"9.65e-01"	""
"205579_at"	"1"	"0.010607"	"7.22e-01"	"HRH1"
"244840_x_at"	"1"	"0.010711"	"7.41e-01"	"DOCK4"
"232744_x_at"	"1"	"0.01077"	"8.89e-01"	""
"228708_at"	"1"	"0.01082"	"7.16e-01"	"RAB27B"
"219201_s_at"	"1"	"0.010852"	"7.14e-01"	"TWSG1"
"242243_at"	"1"	"0.010852"	"7.16e-01"	"TMF1"
"222743_s_at"	"1"	"0.010865"	"-7.11e-01"	"C11orf71"
"202684_s_at"	"1"	"0.01091"	"7.17e-01"	"RNMT"
"1556226_at"	"1"	"0.010939"	"7.31e-01"	""
"205966_at"	"1"	"0.010965"	"7.55e-01"	"TAF13"
"1565628_at"	"1"	"0.011042"	"7.44e-01"	"LRRK1"
"240861_at"	"1"	"0.011114"	"7.06e-01"	""
"222214_at"	"1"	"0.011134"	"7.08e-01"	""
"1553995_a_at"	"1"	"0.011261"	"7.07e-01"	"NT5E"
"1562957_at"	"1"	"0.011302"	"7.15e-01"	""
"208054_at"	"1"	"0.011314"	"1.06"	"HERC4"
"202765_s_at"	"1"	"0.011324"	"7.26e-01"	"FBN1"
"206683_at"	"1"	"0.011477"	"7.71e-01"	"ZNF165"
"215092_s_at"	"1"	"0.011503"	"7.25e-01"	"NFAT5"
"242586_at"	"1"	"0.011535"	"7.07e-01"	"FSD1L"
"215942_s_at"	"1"	"0.011708"	"6.98e-01"	"GTSE1"
"1556923_at"	"1"	"0.011758"	"7.76e-01"	""
"207626_s_at"	"1"	"0.01187"	"6.94e-01"	"SLC7A2"
"226733_at"	"1"	"0.011964"	"6.87e-01"	"PFKFB2"
"1557812_a_at"	"1"	"0.012055"	"6.86e-01"	""
"242427_at"	"1"	"0.012171"	"6.86e-01"	"WAC"
"202445_s_at"	"1"	"0.012398"	"6.98e-01"	"NOTCH2"
"1569149_at"	"1"	"0.012403"	"6.89e-01"	"PDLIM7"
"228638_at"	"1"	"0.012584"	"6.77e-01"	"FAM76A"
"AFFX-r2-Bs-phe-3_at"	"1"	"0.012683"	"8.47e-01"	""
"216627_s_at"	"1"	"0.012747"	"7.66e-01"	"B4GALT1"
