"ID"	"adj.P.Val"	"P.Value"	"logFC"	"Gene.symbol"
"33130"	"0.293"	"0.0000151"	"-2.50722012"	"PIP"
"41022"	"0.293"	"0.0000486"	"1.45780929"	""
"33650"	"0.293"	"0.0000667"	"-2.00772407"	""
"31748"	"0.293"	"0.0000739"	"2.01342189"	""
"26428"	"0.293"	"0.0001267"	"0.8847703"	""
"25949"	"0.293"	"0.0001629"	"2.18860515"	"DNAH5"
"19433"	"0.293"	"0.0001668"	"-3.06328245"	""
"22400"	"0.293"	"0.0002"	"-1.95684844"	"SRGN"
"33437"	"0.293"	"0.0002132"	"1.79388539"	"C1orf61"
"37675"	"0.293"	"0.0002454"	"-1.3027474"	"STMN4"
"25136"	"0.293"	"0.0002588"	"-2.26338114"	"IL5RA"
"24517"	"0.293"	"0.00027"	"1.31595657"	""
"12273"	"0.293"	"0.0003169"	"-1.36854806"	"PRY2"
"7237"	"0.293"	"0.0003202"	"-2.06219034"	""
"19823"	"0.293"	"0.000366"	"2.22035389"	"ELMOD1"
"25851"	"0.293"	"0.0003701"	"1.35160294"	""
"18470"	"0.293"	"0.0003798"	"0.90241791"	""
"3114"	"0.293"	"0.0003999"	"0.8901492"	""
"14198"	"0.293"	"0.0004216"	"-1.95733341"	""
"37724"	"0.293"	"0.0004294"	"-1.0186544"	"CEACAM7"
"20320"	"0.293"	"0.000442"	"-4.1497102"	""
"8562"	"0.293"	"0.0004561"	"-1.03720257"	""
"12848"	"0.293"	"0.0004592"	"1.40949371"	""
"33400"	"0.293"	"0.0004827"	"-3.31107677"	""
"33075"	"0.293"	"0.0005001"	"0.8201124"	"TNF"
"25909"	"0.293"	"0.000524"	"0.77150215"	""
"13711"	"0.293"	"0.000556"	"0.85129128"	""
"7570"	"0.293"	"0.0005929"	"1.13121725"	""
"11592"	"0.293"	"0.0006075"	"-1.05225922"	""
"31377"	"0.293"	"0.0006626"	"1.37007794"	"KCNE4"
"27326"	"0.293"	"0.0007426"	"-1.49215502"	""
"21535"	"0.293"	"0.0008551"	"1.39336114"	"ZNF776"
"12475"	"0.293"	"0.0008654"	"0.90495811"	""
"33610"	"0.293"	"0.0008865"	"-2.30270499"	"NEAT1"
"6154"	"0.293"	"0.000919"	"1.28111701"	"PNMA3"
"29186"	"0.293"	"0.0009747"	"1.29158748"	""
"14889"	"0.293"	"0.0010343"	"0.65931777"	"WFDC5"
"29091"	"0.293"	"0.0012304"	"1.24823915"	"BAIAP2L2"
"26942"	"0.293"	"0.0013485"	"0.72695957"	"COBLL1"
"24490"	"0.293"	"0.0013778"	"0.94932847"	"ABCG5"
"23336"	"0.293"	"0.0014521"	"-5.0836383"	""
"33719"	"0.293"	"0.0014535"	"0.9760705"	""
"15464"	"0.293"	"0.001455"	"1.02289862"	"ZAP70"
"26182"	"0.293"	"0.00146"	"-2.87211716"	""
"11155"	"0.293"	"0.0016017"	"0.67926502"	""
"32035"	"0.293"	"0.0016173"	"0.98089071"	"WDR31"
"42823"	"0.293"	"0.0016496"	"0.7911528"	"SEMA4D"
"25124"	"0.293"	"0.0017141"	"-0.76925878"	"ARHGEF15"
"15438"	"0.293"	"0.0017809"	"-2.90640126"	""
"20857"	"0.293"	"0.0017961"	"0.90347228"	""
"33917"	"0.293"	"0.0018234"	"1.40998476"	""
"15989"	"0.293"	"0.0018647"	"0.57308946"	"HLA-DOA"
"17693"	"0.293"	"0.0019237"	"0.52952391"	"PHF11"
"7759"	"0.293"	"0.0019273"	"1.02106121"	"CLDN10"
"31762"	"0.293"	"0.0019345"	"0.72276151"	"PRR4"
"18382"	"0.293"	"0.0020212"	"-3.06050982"	""
"30659"	"0.293"	"0.0020401"	"1.46211089"	"C11orf40"
"38646"	"0.293"	"0.0020468"	"0.59721573"	"CATSPER3"
"41987"	"0.293"	"0.0021402"	"1.02108946"	""
"41909"	"0.293"	"0.002167"	"1.10830574"	""
"29453"	"0.293"	"0.0021679"	"0.64735339"	""
"14109"	"0.293"	"0.0021842"	"-2.40094404"	""
"22287"	"0.293"	"0.0024032"	"0.84299103"	"MS4A6A"
"43831"	"0.293"	"0.0024332"	"0.90461673"	""
"18577"	"0.293"	"0.0024658"	"-1.04149499"	""
"22605"	"0.293"	"0.0024813"	"0.58536876"	"STX1B"
"40354"	"0.293"	"0.0025037"	"1.00958518"	""
"9383"	"0.293"	"0.0025041"	"1.035947"	"C15orf56"
"17888"	"0.293"	"0.0025284"	"0.78693464"	"CRYBB1"
"15243"	"0.293"	"0.0025435"	"1.78330424"	"PRR18"
"18519"	"0.293"	"0.0025534"	"1.43670847"	"BTC"
"16087"	"0.293"	"0.0026794"	"0.8113335"	""
"38288"	"0.293"	"0.0027253"	"1.33667451"	"ROBO2"
"29925"	"0.293"	"0.0027942"	"-2.14552386"	"ZNF229"
"22319"	"0.293"	"0.0028165"	"-1.25555147"	"IL10"
"37215"	"0.293"	"0.0029145"	"-1.72056115"	""
"44667"	"0.293"	"0.0029449"	"0.83281086"	"DKFZP564C152"
"22802"	"0.293"	"0.0029457"	"0.91432627"	""
"31082"	"0.293"	"0.0029657"	"1.5190319"	"F2RL3"
"29767"	"0.293"	"0.0029773"	"1.38883432"	"SLC4A9"
"38258"	"0.293"	"0.0030055"	"0.88510744"	""
"31615"	"0.293"	"0.0030071"	"0.77442307"	""
"16680"	"0.293"	"0.0030509"	"1.49844452"	""
"30477"	"0.293"	"0.0030647"	"0.56789259"	"CD101"
"43850"	"0.293"	"0.0030659"	"0.81466425"	"STAT4"
"27139"	"0.293"	"0.003155"	"2.23397849"	""
"27318"	"0.293"	"0.0031779"	"0.59478315"	"SECISBP2L"
"4181"	"0.293"	"0.0032215"	"0.70225477"	"TAGLN3"
"36013"	"0.293"	"0.003292"	"0.74792554"	"SF1"
"12998"	"0.293"	"0.0033253"	"-0.97984388"	"SLC17A4"
"31279"	"0.293"	"0.0035241"	"-1.13633942"	"PPP1R2P2"
"41539"	"0.293"	"0.0035363"	"0.81219225"	"FBP1"
"41041"	"0.293"	"0.0035577"	"0.73669983"	"ZBP1"
"36874"	"0.293"	"0.00357"	"-1.06001608"	""
"20228"	"0.293"	"0.0036094"	"0.58051184"	"ZBTB49"
"13199"	"0.293"	"0.0036372"	"1.09605944"	"TNP2"
"6577"	"0.293"	"0.0037887"	"1.29361552"	""
"34114"	"0.293"	"0.0038692"	"1.53669779"	""
"36508"	"0.293"	"0.0039225"	"1.36151217"	"MAGEH1"
"42485"	"0.293"	"0.0039379"	"0.97842027"	"ANK1"
"40017"	"0.293"	"0.0039592"	"0.53042042"	"LOC100132790"
"7422"	"0.293"	"0.0039623"	"-0.83413361"	"SHANK1"
"17957"	"0.293"	"0.00404"	"0.89249949"	"GRAMD1B"
"11267"	"0.293"	"0.0040904"	"-0.97849414"	"FAM193A"
"23097"	"0.293"	"0.0041269"	"0.80374878"	""
"12445"	"0.293"	"0.0041722"	"0.65571764"	""
"30234"	"0.293"	"0.0042258"	"1.96245138"	"IL17F"
"6983"	"0.293"	"0.004285"	"1.03441048"	""
"45115"	"0.293"	"0.0042923"	"-1.89392119"	"KRTAP3-3"
"37835"	"0.293"	"0.0043141"	"1.03687682"	"MYLPF"
"21379"	"0.293"	"0.0043404"	"0.7257832"	""
"14271"	"0.293"	"0.004363"	"0.489133"	"COLEC11"
"32119"	"0.293"	"0.0044688"	"-0.59076159"	"IL12RB1"
"31651"	"0.293"	"0.0045108"	"1.27848939"	"TBC1D10C"
"22866"	"0.293"	"0.0045536"	"-1.70317873"	"MMP2"
"6437"	"0.293"	"0.004613"	"-0.70763288"	""
"16435"	"0.293"	"0.0047578"	"0.7343858"	"RFC3"
"38385"	"0.293"	"0.0047919"	"0.73827596"	"HYPM"
"17588"	"0.293"	"0.0048203"	"0.91740446"	"EHBP1L1"
"45022"	"0.293"	"0.0050764"	"-0.92477505"	""
"44571"	"0.293"	"0.0052266"	"0.54854363"	""
"6337"	"0.293"	"0.0052953"	"0.57563642"	"ABCA10"
"6926"	"0.293"	"0.0053487"	"0.84281853"	""
"34462"	"0.293"	"0.0053755"	"1.67833062"	""
"12674"	"0.293"	"0.0055343"	"0.87432323"	"CNR2"
"7718"	"0.293"	"0.0055509"	"-0.61784405"	"ZNF43"
"4274"	"0.293"	"0.0055671"	"1.24916592"	"APOA1"
"20444"	"0.293"	"0.0055804"	"0.51206427"	"PRRG3"
"24856"	"0.293"	"0.0055977"	"0.84868333"	"TDRD10"
"42587"	"0.293"	"0.0056094"	"1.17748505"	"CELF4"
"23005"	"0.293"	"0.0056339"	"0.6892931"	""
"9005"	"0.293"	"0.0056928"	"-0.78285635"	""
"24410"	"0.293"	"0.0056943"	"1.27316249"	"CNPY3"
"14158"	"0.293"	"0.0057166"	"1.50958092"	""
"14564"	"0.293"	"0.0057567"	"0.90297624"	""
