"ID"	"adj.P.Val"	"P.Value"	"logFC"	"Gene_symbol"
"PH_hs_0008099"	"0.00000677"	"2.14e-10"	"-7.2722316"	"ABCA12"
"PH_hs_0018211"	"0.00001324"	"1.79e-09"	"-6.3683977"	"LCE1B"
"PH_hs_0030847"	"0.00001324"	"2.06e-09"	"-5.2132117"	"CYP4F2|CYP4F3"
"PH_hs_0023310"	"0.00001324"	"2.16e-09"	"-4.8849952"	"INPP5D"
"PH_hs_0020958"	"0.00001324"	"2.36e-09"	"-4.6606059"	"APOBEC3H"
"PH_hs_0005822"	"0.00001324"	"2.71e-09"	"4.424537"	"HJURP"
"PH_hs_0047773"	"0.00001324"	"3.13e-09"	"-5.2539346"	"PDE4C"
"PH_hs_0042403"	"0.00001324"	"3.34e-09"	"4.635403"	"FAM64A"
"PH_hs_0027140"	"0.00001413"	"4.01e-09"	"4.1509789"	"RAD54L"
"PH_hs_0004784"	"0.00001426"	"4.49e-09"	"4.6394666"	"TSPAN8"
"PH_hs_0047600"	"0.00001692"	"5.87e-09"	"4.5233596"	"ADAMTS18"
"PH_hs_0043711"	"0.00001889"	"8.15e-09"	"-4.2954798"	"ACTA2"
"PH_hs_0004332"	"0.00001889"	"8.71e-09"	"-4.4471089"	"TP53INP1"
"PH_hs_0000216"	"0.00001889"	"8.76e-09"	"4.522665"	"CENPA"
"PH_hs_0048904"	"0.00001889"	"8.93e-09"	"-5.0563623"	"CYGB"
"PH_hs_0018997"	"0.00001998"	"1.01e-08"	"-4.0975757"	"LINC00163"
"PH_hs_0001378"	"0.00002038"	"1.09e-08"	"4.0252407"	"CEP55"
"PH_hs_0027108"	"0.0000208"	"1.21e-08"	"3.8846431"	"CDCA3"
"PH_hs_0031033"	"0.0000208"	"1.35e-08"	"4.8195194"	"GKN2"
"PH_hs_0049252"	"0.0000208"	"1.36e-08"	"-3.780768"	"ELOVL2"
"PH_hs_0004780"	"0.0000208"	"1.38e-08"	"-4.1369279"	"PMEPA1"
"PH_hs_0031888"	"0.00002931"	"2.06e-08"	"-3.5253825"	"LPAR5"
"PH_hs_0048095"	"0.00002931"	"2.13e-08"	"-3.5019138"	"KLHDC7A"
"PH_hs_0044814"	"0.00003186"	"2.63e-08"	"3.5557269"	"KIF4A"
"PH_hs_0049129"	"0.00003186"	"2.64e-08"	"-3.8628037"	"AFF3"
"PH_hs_0016073"	"0.00003186"	"2.67e-08"	"-3.5169529"	"KANK3"
"PH_hs_0008587"	"0.00003186"	"2.79e-08"	"3.1987523"	"DUSP9"
"PH_hs_0004815"	"0.00003186"	"2.87e-08"	"4.3502243"	"CCNA2"
"PH_hs_0002720"	"0.00003186"	"3.03e-08"	"-3.5684121"	"ASPA"
"PH_hs_0000388"	"0.00003186"	"3.17e-08"	"3.7176388"	"KIF14"
"PH_hs_0005815"	"0.00003186"	"3.32e-08"	"3.2301994"	"PBK"
"PH_hs_0004651"	"0.00003186"	"3.35e-08"	"4.205155"	"MKI67"
"PH_hs_0005914"	"0.00003186"	"3.37e-08"	"-3.4115381"	""
"PH_hs_0015269"	"0.00003186"	"3.43e-08"	"-3.7425348"	"TMEM71"
"PH_hs_0006705"	"0.00003186"	"3.52e-08"	"3.5609498"	"ASPM"
"PH_hs_0049279"	"0.00003396"	"3.85e-08"	"3.9153478"	"RRM2"
"PH_hs_0010330"	"0.00003582"	"4.24e-08"	"3.1249777"	"ARHGAP11A"
"PH_hs_0048432"	"0.00003582"	"4.29e-08"	"3.7772239"	"BIRC5"
"PH_hs_0045263"	"0.00003582"	"4.43e-08"	"-3.809659"	"previous version conserved probe"
"PH_hs_0049364"	"0.00003582"	"4.52e-08"	"-3.453238"	"AS3MT|C10orf32-AS3MT"
"PH_hs_0011680"	"0.00003584"	"4.63e-08"	"-3.8110494"	"PFKFB4"
"PH_hs_0023142"	"0.00003661"	"5.04e-08"	"3.5214433"	"RRM2"
"PH_hs_0029025"	"0.00003661"	"5.09e-08"	"-3.2628109"	"previous version conserved probe"
