"ID"	"adj.P.Val"	"P.Value"	"logFC"	"Gene.symbol"
"1553454_at"	"0.00188"	"3.45e-08"	"-4.63"	"RPTN"
"205900_at"	"0.00474"	"1.74e-07"	"-3.30"	"KRT1"
"201506_at"	"0.00474"	"2.60e-07"	"-2.26"	"TGFBI"
"1554179_s_at"	"0.00776"	"6.91e-07"	"-2.08"	"LYNX1"
"209555_s_at"	"0.00776"	"8.38e-07"	"-5.11"	"CD36"
"201839_s_at"	"0.00776"	"8.51e-07"	"1.95"	"EPCAM"
"231240_at"	"0.0105"	"1.38e-06"	"-3.75"	"DIO2"
"243780_at"	"0.0105"	"1.54e-06"	"-1.95"	""
"217127_at"	"0.01076"	"2.03e-06"	"1.81"	"CTH"
"213287_s_at"	"0.01076"	"2.14e-06"	"-1.82"	"KRT10"
"203700_s_at"	"0.01076"	"2.18e-06"	"-3.57"	"DIO2"
"207023_x_at"	"0.01076"	"2.36e-06"	"-1.91"	"KRT10"
"1569787_at"	"0.01118"	"2.66e-06"	"-3.95"	"RFTN1"
"210633_x_at"	"0.01161"	"2.97e-06"	"-1.77"	"KRT10"
"208188_at"	"0.01231"	"3.61e-06"	"-3.09"	"KRT9"
"220510_at"	"0.01231"	"4.01e-06"	"-1.96"	"RHBG"
"213240_s_at"	"0.01231"	"4.10e-06"	"-1.71"	"KRT4"
"220625_s_at"	"0.01231"	"4.17e-06"	"-3.50"	"ELF5"
"228766_at"	"0.01231"	"4.40e-06"	"-4.70"	"CD36"
"229327_s_at"	"0.01231"	"4.50e-06"	"-2.00"	"MAF"
"229596_at"	"0.01329"	"5.32e-06"	"-2.05"	"AMDHD1"
"214624_at"	"0.01329"	"5.35e-06"	"-2.53"	"UPK1A"
"243403_x_at"	"0.01353"	"5.69e-06"	"-2.01"	"CPM"
"243312_at"	"0.01402"	"6.17e-06"	"-2.03"	"ZNF107"
"239752_at"	"0.01402"	"6.52e-06"	"-1.75"	"CECR2"
"237120_at"	"0.01402"	"6.87e-06"	"-1.66"	"KRT77"
"204072_s_at"	"0.01402"	"6.92e-06"	"-2.04"	"FRY"
"220090_at"	"0.01426"	"7.30e-06"	"-2.70"	"CRNN"
"206488_s_at"	"0.01453"	"7.71e-06"	"-4.62"	"CD36"
"1553715_s_at"	"0.01504"	"8.46e-06"	"1.40"	"MCRIP2"
"206363_at"	"0.01504"	"8.53e-06"	"-2.05"	"MAF"
"226382_at"	"0.01538"	"9.00e-06"	"-2.24"	""
"210521_s_at"	"0.01573"	"9.49e-06"	"-2.11"	"FETUB"
"207908_at"	"0.01647"	"1.02e-05"	"-5.44"	"KRT2"
"212488_at"	"0.01687"	"1.15e-05"	"-1.49"	"COL5A1"
"207324_s_at"	"0.01687"	"1.17e-05"	"-1.32"	"DSC1"
"40524_at"	"0.01687"	"1.21e-05"	"-2.72"	"PTPN21"
"223739_at"	"0.01687"	"1.21e-05"	"-2.49"	"PADI1"
"226988_s_at"	"0.01687"	"1.24e-05"	"-1.44"	"MYH14"
"243176_at"	"0.01687"	"1.26e-05"	"-2.24"	"LOC101929356///ARL5A"
"201650_at"	"0.01687"	"1.27e-05"	"2.55"	"KRT19"
"225861_at"	"0.01687"	"1.30e-05"	"1.32"	"MCRIP2"
"205438_at"	"0.01826"	"1.44e-05"	"-2.62"	"PTPN21"
"201884_at"	"0.01827"	"1.47e-05"	"-1.28"	"CEACAM5"
"229566_at"	"0.01827"	"1.50e-05"	"-1.56"	"WFDC21P"
"235706_at"	"0.01865"	"1.62e-05"	"-2.39"	"CPM"
"1569909_at"	"0.01865"	"1.66e-05"	"-2.79"	"KRT79"
"207414_s_at"	"0.01865"	"1.67e-05"	"-1.78"	"LOC100507472///PCSK6"
"207761_s_at"	"0.01865"	"1.68e-05"	"-3.06"	"METTL7A"
"226959_at"	"0.01865"	"1.77e-05"	"-1.92"	""
"202831_at"	"0.01865"	"1.78e-05"	"1.53"	"GPX2"
"227782_at"	"0.01865"	"1.78e-05"	"-2.94"	"ZBTB7C"
"227863_at"	"0.01865"	"1.81e-05"	"-2.15"	"IFITM10"
"204521_at"	"0.01932"	"1.91e-05"	"1.26"	"FAM216A"
"230084_at"	"0.01933"	"1.95e-05"	"-1.51"	"SLC30A2"
"231062_at"	"0.01933"	"1.99e-05"	"-1.82"	"DOCK9-AS2"
"226991_at"	"0.01933"	"2.02e-05"	"-1.38"	"NFATC2"
"244056_at"	"0.01933"	"2.12e-05"	"-1.85"	"SFTA2"
"223816_at"	"0.01933"	"2.13e-05"	"-3.80"	"SLC46A2"
"207911_s_at"	"0.01933"	"2.13e-05"	"-2.38"	"TGM5"
"238431_at"	"0.01933"	"2.16e-05"	"-1.65"	""
"218454_at"	"0.01933"	"2.19e-05"	"-1.25"	"PLBD1"
"240420_at"	"0.01985"	"2.29e-05"	"-3.20"	"AADACL2"
"244417_at"	"0.02008"	"2.35e-05"	"-1.32"	""
"229385_s_at"	"0.02042"	"2.43e-05"	"-1.56"	"TINCR"
"239345_at"	"0.02068"	"2.51e-05"	"-3.71"	"SLC19A3"
"231778_at"	"0.02068"	"2.53e-05"	"-1.39"	"DLX3"
"224262_at"	"0.02119"	"2.64e-05"	"-1.41"	"IL1F10"
"235019_at"	"0.02119"	"2.70e-05"	"-2.40"	"CPM"
"209904_at"	"0.02119"	"2.72e-05"	"-1.72"	"TNNC1"
"208502_s_at"	"0.02119"	"2.77e-05"	"1.27"	"PITX1"
"210809_s_at"	"0.02119"	"2.79e-05"	"-3.03"	"POSTN"
"224836_at"	"0.02138"	"2.85e-05"	"-1.78"	"TP53INP2"
"224818_at"	"0.0217"	"3.06e-05"	"-1.27"	"SORT1"
"206655_s_at"	"0.0217"	"3.08e-05"	"-1.61"	"SEPT5-GP1BB///SEPT5///GP1BB"
"205891_at"	"0.0217"	"3.17e-05"	"1.20"	"ADORA2B"
"215719_x_at"	"0.0217"	"3.19e-05"	"1.23"	"FAS"
"224480_s_at"	"0.0217"	"3.21e-05"	"1.82"	"GPAT3"
"205054_at"	"0.0217"	"3.27e-05"	"-1.60"	"NEB"
"236350_at"	"0.0217"	"3.29e-05"	"-1.50"	""
"231491_at"	"0.0217"	"3.29e-05"	"2.19"	"LINC00113"
"1557103_a_at"	"0.0217"	"3.30e-05"	"-1.15"	"LMTK3"
"205439_at"	"0.0217"	"3.36e-05"	"-2.83"	"GSTT2"
"229125_at"	"0.0217"	"3.36e-05"	"-1.70"	"KANK4"
"226460_at"	"0.0217"	"3.37e-05"	"-1.20"	"FNIP2"
"226438_at"	"0.0218"	"3.43e-05"	"-1.96"	"SNTB1"
"229280_s_at"	"0.02197"	"3.56e-05"	"-1.54"	"CASC15"
"239303_at"	"0.02197"	"3.58e-05"	"1.27"	"PIWIL2"
"213933_at"	"0.02197"	"3.59e-05"	"-3.05"	"PTGER3"
"232035_at"	"0.02197"	"3.62e-05"	"-1.37"	"HIST1H4H"
"205047_s_at"	"0.02226"	"3.70e-05"	"1.47"	"ASNS"
"236423_at"	"0.02265"	"3.86e-05"	"-1.72"	""
"205786_s_at"	"0.02265"	"3.87e-05"	"-4.23"	"ITGAM"
"205660_at"	"0.02265"	"3.92e-05"	"-1.81"	"OASL"
"215856_at"	"0.02265"	"3.94e-05"	"-1.26"	"SIGLEC15"
"240361_at"	"0.023"	"4.04e-05"	"-1.96"	"LOC101927972"
"224583_at"	"0.02361"	"4.19e-05"	"1.22"	"COTL1"
"235736_at"	"0.02369"	"4.25e-05"	"1.15"	"SMKR1"
"228538_at"	"0.02369"	"4.35e-05"	"-1.55"	"ZNF662"
"1553929_at"	"0.02369"	"4.37e-05"	"-2.06"	"ACER1"
"236407_at"	"0.02369"	"4.44e-05"	"-1.48"	"KCNE1"
"227276_at"	"0.02369"	"4.44e-05"	"-1.61"	"PLXDC2"
"1553589_a_at"	"0.02369"	"4.46e-05"	"-2.31"	"PDZK1IP1"
"213954_at"	"0.02372"	"4.56e-05"	"1.12"	"FAM169A"
"1554541_a_at"	"0.02372"	"4.56e-05"	"-1.26"	"GPRIN2"
"202364_at"	"0.02401"	"4.65e-05"	"-1.41"	"MXI1"
"206085_s_at"	"0.02421"	"4.74e-05"	"1.30"	"CTH"
"219752_at"	"0.02476"	"4.93e-05"	"-1.72"	"RASAL1"
"206100_at"	"0.02476"	"4.94e-05"	"-2.25"	"CPM"
"221584_s_at"	"0.02488"	"5.04e-05"	"-1.43"	"KCNMA1"
"220413_at"	"0.02488"	"5.05e-05"	"-1.62"	"SLC39A2"
"220056_at"	"0.02488"	"5.10e-05"	"-1.60"	"IL22RA1"
"203528_at"	"0.02504"	"5.22e-05"	"-1.71"	"SEMA4D"
"205184_at"	"0.02504"	"5.23e-05"	"-2.16"	"GNG4"
"228293_at"	"0.02504"	"5.27e-05"	"1.20"	"DEPDC7"
"240242_at"	"0.02504"	"5.31e-05"	"-2.19"	""
