"ID"	"adj.P.Val"	"P.Value"	"logFC"	"Gene.symbol"
"221471_at"	"0.00305"	"6.28e-08"	"-1.52"	"SERINC3"
"212725_s_at"	"0.00305"	"1.12e-07"	"-2.00"	"TUG1"
"224502_s_at"	"0.00313"	"1.72e-07"	"-1.55"	"KIAA1191"
"228397_at"	"0.00386"	"2.83e-07"	"-2.14"	"TUG1"
"221472_at"	"0.01299"	"1.19e-06"	"-1.45"	"SERINC3"
"212337_at"	"0.0176"	"1.93e-06"	"-1.82"	"TUG1"
"208783_s_at"	"0.02589"	"3.31e-06"	"-1.26"	"CD46"
"201142_at"	"0.02898"	"4.24e-06"	"-8.93e-01"	"EIF2S1"
"221473_x_at"	"0.051"	"8.39e-06"	"-1.24"	"SERINC3"
"222735_at"	"0.0532"	"9.73e-06"	"-1.48"	"TMEM38B"
"222244_s_at"	"0.06159"	"1.24e-05"	"-1.44"	"TUG1"
"218772_x_at"	"0.0703"	"1.54e-05"	"-1.71"	"TMEM38B"
"226868_at"	"0.0934"	"2.22e-05"	"-9.21e-01"	"GXYLT1"
"211769_x_at"	"0.09361"	"2.40e-05"	"-1.13"	"SERINC3"
"200969_at"	"0.13667"	"3.84e-05"	"-1.23"	"SERP1"
"202829_s_at"	"0.13667"	"4.36e-05"	"-9.25e-01"	"VAMP7"
"224851_at"	"0.13667"	"4.48e-05"	"7.85e-01"	"CDK6"
"214447_at"	"0.13667"	"4.50e-05"	"6.32e-01"	"ETS1"
"209409_at"	"0.15352"	"5.49e-05"	"-1.10"	"GRB10"
"222592_s_at"	"0.15352"	"5.77e-05"	"1.44"	"ACSL5"
"209045_at"	"0.15352"	"5.90e-05"	"-6.60e-01"	"XPNPEP1"
"214378_at"	"0.17659"	"7.11e-05"	"5.60e-01"	"TFPI"
"221935_s_at"	"0.17761"	"7.47e-05"	"-1.43"	"EOGT"
"221870_at"	"0.18707"	"8.55e-05"	"-6.01e-01"	"EHD2"
"200891_s_at"	"0.18707"	"9.11e-05"	"-6.08e-01"	"SSR1"
"201990_s_at"	"0.18707"	"9.15e-05"	"-8.24e-01"	"CREBL2"
"226810_at"	"0.18707"	"9.43e-05"	"-1.06"	"OGFRL1"
"223980_s_at"	"0.18707"	"9.58e-05"	"9.69e-01"	"SP110"
"202850_at"	"0.19656"	"1.04e-04"	"-5.41e-01"	"ABCD3"
"200970_s_at"	"0.19656"	"1.08e-04"	"-9.24e-01"	"SERP1"
"203238_s_at"	"0.2666"	"1.64e-04"	"-8.47e-01"	"NOTCH3"
"1555355_a_at"	"0.2666"	"1.66e-04"	"6.32e-01"	"ETS1"
"221748_s_at"	"0.2666"	"1.69e-04"	"-9.86e-01"	"TNS1"
"226230_at"	"0.2666"	"1.70e-04"	"-8.66e-01"	"PPP4R3B"
"204372_s_at"	"0.2666"	"1.71e-04"	"-6.84e-01"	"KHSRP"
"201143_s_at"	"0.27217"	"1.83e-04"	"-7.84e-01"	"EIF2S1"
"242210_at"	"0.27217"	"1.84e-04"	"5.46e-01"	"ZNF24"
"1569465_at"	"0.28743"	"2.00e-04"	"5.97e-01"	"FAM160A1"
"204203_at"	"0.28909"	"2.06e-04"	"4.81e-01"	"CEBPG"
"230003_at"	"0.30704"	"2.29e-04"	"-1.23"	"SLC16A7"
"228817_at"	"0.30704"	"2.30e-04"	"6.74e-01"	"ALG9"
"207549_x_at"	"0.31223"	"2.40e-04"	"-8.57e-01"	"CD46"
"223176_at"	"0.31345"	"2.50e-04"	"-5.91e-01"	"KCTD20"
"225398_at"	"0.31345"	"2.52e-04"	"-6.45e-01"	"RPUSD4"
"225270_at"	"0.32105"	"2.65e-04"	"-6.32e-01"	"NEO1"
"200962_at"	"0.32105"	"2.70e-04"	"-8.18e-01"	"RPL31"
"222184_at"	"0.33521"	"2.98e-04"	"-7.54e-01"	"LINC00965"
"228024_at"	"0.33521"	"3.01e-04"	"-7.17e-01"	"VPS37A"
"208680_at"	"0.33521"	"3.07e-04"	"-8.16e-01"	"PRDX1"
"219593_at"	"0.33521"	"3.16e-04"	"8.83e-01"	"SLC15A3"
"212343_at"	"0.33521"	"3.18e-04"	"-1.07"	"YIPF6"
"218370_s_at"	"0.33521"	"3.23e-04"	"-7.71e-01"	"S100PBP"
"224755_at"	"0.33521"	"3.25e-04"	"-5.91e-01"	"TM9SF3"
"202883_s_at"	"0.3483"	"3.50e-04"	"9.53e-01"	"PPP2R1B"
"235913_at"	"0.3483"	"3.56e-04"	"-4.73e-01"	"ZNF880"
"217428_s_at"	"0.3483"	"3.57e-04"	"-1.77"	"COL10A1"
"201552_at"	"0.34855"	"3.64e-04"	"-7.29e-01"	"LAMP1"
"226702_at"	"0.34855"	"3.70e-04"	"1.77"	"CMPK2"
"226777_at"	"0.35183"	"3.82e-04"	"5.41e-01"	"ADAM12"
"228748_at"	"0.35183"	"3.86e-04"	"-1.10"	"CD59"
"210807_s_at"	"0.39544"	"4.43e-04"	"-7.05e-01"	"SLC16A7"
"209740_s_at"	"0.39544"	"4.48e-04"	"-6.23e-01"	"PNPLA4"
"226982_at"	"0.40073"	"4.62e-04"	"-1.15"	"ELL2"
"213783_at"	"0.40922"	"4.79e-04"	"4.95e-01"	"MFNG"
"239641_at"	"0.45725"	"5.44e-04"	"4.65e-01"	"SENCR"
"206638_at"	"0.4734"	"5.77e-04"	"1.22"	"HTR2B"
"244177_at"	"0.4734"	"5.80e-04"	"-4.57e-01"	"ING1"
"211574_s_at"	"0.47357"	"5.93e-04"	"-8.10e-01"	"CD46"
"219211_at"	"0.47357"	"6.00e-04"	"1.12"	"USP18"
"235157_at"	"0.47357"	"6.06e-04"	"8.24e-01"	""
"204076_at"	"0.4798"	"6.24e-04"	"-7.14e-01"	"ENTPD4"
"217748_at"	"0.4798"	"6.35e-04"	"-8.48e-01"	"ADIPOR1"
"212697_at"	"0.4798"	"6.41e-04"	"-5.26e-01"	"FAM134C"
"213438_at"	"0.4822"	"6.53e-04"	"-7.94e-01"	"NFASC"
"218789_s_at"	"0.48963"	"6.75e-04"	"5.58e-01"	"C11orf71"
"221206_at"	"0.48963"	"6.81e-04"	"-4.56e-01"	"PMS2CL///PMS2"
"236321_at"	"0.50041"	"7.05e-04"	"-7.63e-01"	"FAM200B"
"208012_x_at"	"0.50041"	"7.14e-04"	"8.99e-01"	"SP110"
"45297_at"	"0.50149"	"7.26e-04"	"-6.04e-01"	"EHD2"
"218181_s_at"	"0.50149"	"7.34e-04"	"-6.42e-01"	"MAP4K4"
"204321_at"	"0.51035"	"7.56e-04"	"-5.33e-01"	"NEO1"
"237916_at"	"0.52798"	"7.97e-04"	"5.73e-01"	""
