"ID"	"adj.P.Val"	"P.Value"	"logFC"	"Gene.symbol"
"224502_s_at"	"0.0000344"	"6.29e-10"	"-2.02"	"KIAA1191"
"218772_x_at"	"0.0001089"	"3.98e-09"	"-2.99"	"TMEM38B"
"228397_at"	"0.0001469"	"8.06e-09"	"-2.95"	"TUG1"
"212725_s_at"	"0.0002045"	"1.50e-08"	"-2.71"	"TUG1"
"226230_at"	"0.0013898"	"1.27e-07"	"-1.50"	"PPP4R3B"
"225398_at"	"0.001986"	"2.18e-07"	"-1.22"	"RPUSD4"
"221472_at"	"0.0026228"	"3.36e-07"	"-1.40"	"SERINC3"
"219007_at"	"0.0027442"	"4.08e-07"	"-1.31"	"NUP43"
"224675_at"	"0.0027442"	"4.69e-07"	"-1.20"	"MESDC2"
"225008_at"	"0.0027442"	"6.00e-07"	"-1.86"	"ASPH"
"226030_at"	"0.0027442"	"7.49e-07"	"-1.54"	"ACADSB"
"212343_at"	"0.0027442"	"7.50e-07"	"-1.76"	"YIPF6"
"200891_s_at"	"0.0027442"	"7.55e-07"	"-9.34e-01"	"SSR1"
"202883_s_at"	"0.0027442"	"7.59e-07"	"1.62"	"PPP2R1B"
"201142_at"	"0.0027442"	"8.01e-07"	"-1.31"	"EIF2S1"
"203177_x_at"	"0.0027442"	"8.03e-07"	"-1.14"	"TFAM"
"202434_s_at"	"0.0028691"	"8.92e-07"	"2.29"	"CYP1B1"
"221473_x_at"	"0.0028956"	"9.53e-07"	"-1.65"	"SERINC3"
"203625_x_at"	"0.0030273"	"1.05e-06"	"-1.82"	"SKP2"
"212973_at"	"0.0030994"	"1.13e-06"	"9.17e-01"	"RPIA"
"220526_s_at"	"0.0034788"	"1.39e-06"	"-9.23e-01"	"MRPL20"
"242919_at"	"0.0034788"	"1.40e-06"	"9.60e-01"	"ZNF253"
"209989_at"	"0.003551"	"1.49e-06"	"9.97e-01"	"ZNF268"
"222244_s_at"	"0.004587"	"2.16e-06"	"-1.98"	"TUG1"
"201553_s_at"	"0.004587"	"2.17e-06"	"-9.56e-01"	"LAMP1"
"211713_x_at"	"0.004587"	"2.26e-06"	"9.43e-01"	"KIAA0101"
"208680_at"	"0.004587"	"2.31e-06"	"-1.26"	"PRDX1"
"235287_at"	"0.004587"	"2.35e-06"	"2.09"	"CDK6"
"223306_at"	"0.0048739"	"2.59e-06"	"-1.89"	"EBPL"
"217489_s_at"	"0.0051956"	"2.85e-06"	"1.25"	"IL6R"
"223176_at"	"0.0053154"	"3.11e-06"	"-1.10"	"KCTD20"
"222735_at"	"0.0053154"	"3.11e-06"	"-2.73"	"TMEM38B"
"203908_at"	"0.0055932"	"3.38e-06"	"-1.66"	"SLC4A4"
"205945_at"	"0.0059477"	"3.70e-06"	"1.98"	"IL6R"
"215543_s_at"	"0.0061174"	"3.92e-06"	"-1.18"	"LARGE1"
"217748_at"	"0.006685"	"4.48e-06"	"-1.34"	"ADIPOR1"
"212490_at"	"0.006685"	"4.64e-06"	"-1.47"	"DNAJC8"
"202850_at"	"0.006685"	"4.82e-06"	"-8.67e-01"	"ABCD3"
"221471_at"	"0.006685"	"4.88e-06"	"-1.96"	"SERINC3"
"224996_at"	"0.006685"	"4.96e-06"	"-1.36"	"ASPH"
"201552_at"	"0.006685"	"5.01e-06"	"-1.27"	"LAMP1"
"227630_at"	"0.0068351"	"5.25e-06"	"-1.07"	"PPP2R5E"
"225435_at"	"0.0075489"	"5.94e-06"	"-1.66"	"SSR1"
"225574_at"	"0.0079414"	"6.39e-06"	"-1.42"	"RWDD4"
"225108_at"	"0.0079414"	"6.54e-06"	"-1.13"	"AGPS"
"207143_at"	"0.0079439"	"6.95e-06"	"1.42"	"CDK6"
"203274_at"	"0.0079439"	"7.02e-06"	"-8.33e-01"	"F8A3///F8A2///F8A1"
"235170_at"	"0.0079439"	"7.03e-06"	"7.75e-01"	"ZNF92"
"211769_x_at"	"0.0079439"	"7.12e-06"	"-1.47"	"SERINC3"
"234986_at"	"0.0080793"	"7.39e-06"	"-1.52"	"GCLM"
"224894_at"	"0.010036"	"9.36e-06"	"-8.73e-01"	"YAP1"
"227873_at"	"0.0102317"	"9.86e-06"	"-7.54e-01"	"TXNDC15"
"201018_at"	"0.0102317"	"9.92e-06"	"-8.91e-01"	"EIF1AX"
"209045_at"	"0.0102317"	"1.01e-05"	"-9.81e-01"	"XPNPEP1"
"214383_x_at"	"0.0102656"	"1.06e-05"	"9.08e-01"	"KLHDC3"
"224702_at"	"0.0102656"	"1.07e-05"	"-9.21e-01"	"TMEM167A"
