Gene	logFC KO/WT	logCPM	pVal.Cmn	adj.pVal.Cmn	pVal.Tgw	adj.pVal.Tgw	Cmn.Disp	Tgw.Disp	UpDown.Cmn	UpDown.Tgw	WT #1 FPKM	WT #2 FPKM	WT #3 FPKM	KO CLONE1 FPKM	KO CLONE2 FPKM	KO CLONE3 FPKM	geneName
ENSG00000129824	-14.29773218	5.381902924	4.42E-169	6.21E-165	3.74E-225	5.25E-221	0.030544097	0.030544097	-1	-1	2306	1551	3061	0	0	0	RPS4Y1
ENSG00000067048	-13.36685661	4.450355915	2.95E-142	2.07E-138	5.05E-165	3.54E-161	0.030544097	0.030544097	-1	-1	1190	905	1452	0	0	0	DDX3Y
ENSG00000114374	-12.19896149	3.281921971	1.60E-109	5.61E-106	3.55E-113	1.25E-109	0.030544097	0.030544097	-1	-1	462	384	777	0	0	0	USP9Y
ENSG00000198692	-11.78503378	2.867158517	2.69E-98	7.55E-95	2.08E-89	4.18E-86	0.030544097	0.030544097	-1	-1	445	295	436	0	0	0	EIF1AY
ENSG00000183878	-11.74962002	2.832342665	2.32E-97	5.43E-94	1.56E-96	4.39E-93	0.030544097	0.030544097	-1	-1	349	282	553	0	0	0	UTY
ENSG00000012817	-11.59420373	2.677068882	2.91E-93	5.84E-90	4.39E-93	1.03E-89	0.030544097	0.030544097	-1	-1	348	237	480	0	0	0	KDM5D
ENSG00000131002	-11.29002366	4.166127037	3.56E-134	1.67E-130	2.07E-153	9.70E-150	0.030544097	0.030544097	-1	-1	951	721	1272	1	0	0	TXLNG2P
ENSG00000233864	-11.0612533	2.143259794	1.69E-79	2.97E-76	5.80E-70	1.02E-66	0.030544097	0.030544097	-1	-1	241	193	277	0	0	0	TTTY15
ENSG00000067646	-10.67697794	1.76156683	4.40E-70	6.87E-67	1.48E-65	2.32E-62	0.030544097	0.030544097	-1	-1	184	124	257	0	0	0	ZFY
ENSG00000099725	-9.259218345	0.361129198	3.54E-40	3.31E-37	6.64E-34	7.77E-31	0.030544097	0.030544097	-1	-1	76	55	73	0	0	0	PRKY
ENSG00000154620	-8.21791218	-0.622360482	3.70E-24	1.92E-21	1.81E-22	1.34E-19	0.030544097	0.030544097	-1	-1	34	23	45	0	0	0	TMSB4Y
ENSG00000138587	-5.439818312	1.707964876	5.26E-55	6.72E-52	1.00E-32	1.08E-29	0.030544097	0.030544097	-1	-1	194	156	145	1	10	3	MNS1
ENSG00000196730	-4.44904823	1.389121368	3.92E-42	3.94E-39	4.26E-38	5.44E-35	0.030544097	0.030544097	-1	-1	130	91	197	10	4	8	DAPK1
ENSG00000109511	-4.138886566	0.740608358	9.17E-32	6.44E-29	1.74E-18	1.06E-15	0.030544097	0.030544097	-1	-1	81	60	119	1	16	0	ANXA10
ENSG00000165025	-4.029214949	2.008659539	2.45E-44	2.65E-41	8.85E-42	1.24E-38	0.030544097	0.030544097	-1	-1	208	138	285	17	11	17	SYK
ENSG00000163082	-3.979573744	-0.260239111	1.46E-20	6.02E-18	1.04E-18	6.93E-16	0.030544097	0.030544097	-1	-1	43	24	60	4	3	2	SGPP2
ENSG00000260032	-3.906862254	7.495936933	1.65E-63	2.32E-60	1.08E-18	6.93E-16	0.030544097	0.030544097	-1	-1	9122	6607	12115	1426	658	191	LINC00657
ENSG00000231131	-3.696786291	0.408172649	1.11E-25	6.23E-23	2.14E-18	1.25E-15	0.030544097	0.030544097	-1	-1	79	52	63	9	8	1	RP11-346D6.6
ENSG00000113448	-3.59985469	1.252271108	7.01E-32	5.18E-29	2.80E-28	2.63E-25	0.030544097	0.030544097	-1	-1	125	91	139	13	12	10	PDE4D
