ENSG_ids	PUM1 KD average	PUM2 KD average	PUM1 OE average	PUM2 OE average	NORAD 48h siRNA average	NORAD 24h OE average
ENSG00000156006		0,746519042				
ENSG00000196839	0,100208283	0,194708825	0,024140329	0,034143423	0,065199369	-0,025044987
ENSG00000170558	0,00319427	-0,07166395	-0,177724028	-0,115269097	-0,046936974	0,052403285
ENSG00000117020	-0,031013498	0,060470822	0,051390284	0,101439983	-0,062155994	-0,116567843
ENSG00000260606_ENSG00000254417						
ENSG00000256628	0,190583622	-0,125438786	0,088596709	0,009539557	0,556556697	0,361872568
ENSG00000133997	-0,00190201	-0,094993508	-0,073017722	0,047098925	-0,113373031	-0,008977266
ENSG00000077616	-0,245606896	0,47311768	0,298042939	0,416293257	0,1590786	-0,211886406
ENSG00000207063						
ENSG00000207001						
ENSG00000224078	-0,444466453	0,109682709	-0,591884825	0,127393535	-0,484761744	-0,287937024
ENSG00000207093						
ENSG00000200661						
ENSG00000206609						
ENSG00000207197						
ENSG00000207137						
ENSG00000206621		0,858394302				
ENSG00000207174						
ENSG00000207263						
ENSG00000206688						
ENSG00000261069		-0,399893148				
ENSG00000261069		0,192845816				
ENSG00000224078		-0,898366132				
ENSG00000207375		0,643924093				
ENSG00000207279		0,791996166				
ENSG00000252326						
ENSG00000199712						
ENSG00000251815						
ENSG00000251896						
ENSG00000199970						
ENSG00000200680						
ENSG00000200812						
ENSG00000224078						
ENSG00000200726						
ENSG00000224078						
ENSG00000199960						
ENSG00000200757						
ENSG00000201326						
ENSG00000199489						
ENSG00000224078						
ENSG00000200987						
ENSG00000202188						
ENSG00000200949						
ENSG00000200593						
ENSG00000201992						
ENSG00000200638						
ENSG00000201907						
ENSG00000200564						
ENSG00000272460						
ENSG00000200478						
ENSG00000202261						
ENSG00000224078		-0,331390487				
ENSG00000207245						
ENSG00000201634						
ENSG00000200398						
ENSG00000201300						
ENSG00000200801						
ENSG00000212380						
ENSG00000212528						
ENSG00000099974_ENSG00000099977		0,805782031				
ENSG00000236311						
ENSG00000168060						
ENSG00000240498						
ENSG00000253203						
ENSG00000254415		0,643924093				
ENSG00000177406	-0,030972372	0,104671477	0,179792684	0,28656634	-0,148859879	-0,268730846
ENSG00000101473	0,262024123	-0,045726689	0,243466751	0,287509357	0,292708604	0,263174348
ENSG00000136754	-0,045556504	0,000306783	-0,002912396	0,030238681	-0,047438774	-0,067793216
ENSG00000113552	-0,046636472	0,017319389	-0,061390428	0,007564956	-0,001958157	0,115986176
ENSG00000268654		1,929536964				
ENSG00000175538		0,549990783				
ENSG00000177485_ENSG00000269603	-0,088851575	0,127769865	0,025791689	0,136656397	-0,142605001	-0,161224804
ENSG00000269893	-0,130664376	-0,308957928	-0,067752061	0,079564891	-0,063277906	0,231742023
ENSG00000231216						
ENSG00000062038						
ENSG00000136560	-0,165123502	0,158319638	0,0747971	0,101174856	-0,23667856	-0,231221627
ENSG00000268442						
ENSG00000135213	0,134154486	-0,02753079	0,001709959	-0,174576639	0,107391669	0,092734108
ENSG00000186814	-0,206562827	0,14367217	0,01398583	-0,020464967	-0,026010722	-0,263287069
ENSG00000101898	0,030537686	0,029433949	-0,018119976	0,0580396	0,197000087	0,154908984
ENSG00000213523	-0,00978362	-0,162236069	-0,081831857	-0,205713385	-0,010588774	0,207339259
ENSG00000251806						
ENSG00000238886						
ENSG00000163938		0,606657176				
ENSG00000238531						
ENSG00000239112		-0,001755181				
ENSG00000239043						
ENSG00000238344						
ENSG00000271852						
ENSG00000222365		-0,326547957				
ENSG00000221514						
ENSG00000203809						
ENSG00000205636						
ENSG00000205269	-0,070456205	0,09609371	0,053825882	0,138981926	-0,150037104	-0,254324704
ENSG00000248893						
ENSG00000265681		-0,284759998				
ENSG00000207016						
ENSG00000200394						
ENSG00000206937						
ENSG00000207268						
ENSG00000221102						
ENSG00000221459						
ENSG00000228630	-0,165381531	0,689660432	0,035665458	0,105618263	-0,096845078	-0,093035378
ENSG00000220201	0,047797337	0,14938744	0,176159667	0,003948026	0,626357841	0,285657617
ENSG00000171084	0,194530559	-0,296099178	-0,109673987	-0,115314747	0,187716319	0,357272318
ENSG00000268066_ENSG00000268817		0				
ENSG00000216031						
ENSG00000215957						
ENSG00000270123						
ENSG00000216001						
ENSG00000216075_ENSG00000269241						
ENSG00000216064_ENSG00000267953						
ENSG00000216005_ENSG00000269497						
ENSG00000216098_ENSG00000267971						
ENSG00000216179						
ENSG00000216069						
ENSG00000215966						
ENSG00000266297						
ENSG00000266785_ENSG00000263700_ENSG00000216101_ENSG00000266871_ENSG00000266362_ENSG00000263866_ENSG00000264579						
ENSG00000272291						
ENSG00000215939						
ENSG00000212027		-0,271160002				
ENSG00000212102						
ENSG00000211520						
ENSG00000216192						
ENSG00000216060						
ENSG00000216035						
ENSG00000260778						
ENSG00000216141_ENSG00000215946						
ENSG00000215930						
ENSG00000211997						
ENSG00000216135						
ENSG00000212040						
ENSG00000215991						
ENSG00000216058						
